QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:07:26, Windows 10 Version 2009, 10.0.19042, x86_64,,,,,,,
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
26941,-1.06336,0,-0.0940219,0.39,1.45509,-3.86037,-3.86037,0.202942,-0.202989,2.79E-05,-0.000560895,0.0003635
26951,-1.21827,0,-0.0939504,0.4,1.42353,-3.49923,-3.14861,0.202942,-0.203025,2.79E-05,-0.000987291,0.0003635
26960,-1.89927,0,-0.0911961,0.41,1.39899,-2.45788,-2.45788,0.204442,-0.204402,2.79E-05,0.000477731,0.0003635
26971,-1.93656,0,-0.0909696,0.42,1.37445,-2.45437,-2.80499,0.204442,-0.204515,2.79E-05,-0.000871882,0.0003635
26981,-1.48127,0,-0.0936994,0.43,1.34289,-3.15562,-2.80149,0.202942,-0.20315,2.79E-05,-0.00248295,0.0003635
26991,-1.10383,0,-0.0911755,0.44,1.30783,-3.49923,-3.50274,0.204442,-0.204412,2.79E-05,0.000354722,0.0003635
27001,-1.0711,0,-0.0824589,0.45,1.27627,-3.15562,-3.15562,0.209086,-0.208771,2.79E-05,0.00376227,0.0003635
27011,-1.5288,0,-0.081742,0.46,1.25173,-2.45437,-2.45437,0.209086,-0.209129,2.79E-05,-0.00050886,0.0003635
27021,-1.81364,0,-0.081683,0.47,1.23069,-2.10024,-2.10024,0.209086,-0.209158,2.79E-05,-0.000860125,0.0003635
27031,-1.57927,0,-0.0816782,0.48,1.20615,-2.45437,-2.45437,0.209086,-0.209161,2.79E-05,-0.000889018,0.0003635
27041,-1.30428,0,-0.0816778,0.49,1.1781,-2.80149,-2.80149,0.209086,-0.209161,2.79E-05,-0.000891387,0.0003635
27051,-1.25878,0,-0.0816778,0.5,1.15005,-2.80499,-2.80499,0.209086,-0.209161,2.79E-05,-0.000891581,0.0003635
27061,-1.20798,0,-0.069676,0.51,1.1255,-2.45086,-2.44736,0.215637,-0.215162,2.79E-05,0.00565898,0.0003635
27071,-1.13404,0,-0.068689,0.52,1.10096,-2.45788,-2.45437,0.215637,-0.215655,2.79E-05,-0.000221863,0.0003635
