QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:58:19, Windows 10 Version 2009, 10.0.19042, x86_64,,,,,,,
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
28911,0.955377,0.98808,0.0795752,0.45,-0.115706,3.49923,3.49923,0.169709,-0.169894,2.79E-05,-0.00219859,0.0003635
28921,-0.330621,-0.25946,0.00960326,0.46,-0.0911623,2.8085,2.80499,0.150871,-0.152401,2.79E-05,-0.0182268,0.0003635
28931,0.795434,1.35689,0.069289,0.47,-0.0666186,2.79798,2.10374,0.168698,-0.167322,2.79E-05,0.0163932,0.0003635
28941,2.02689,1.82805,0.0778033,0.48,-0.0490874,1.4025,1.75312,0.169709,-0.169451,2.79E-05,0.00307994,0.0003635
28951,1.53534,1.0436,0.0639439,0.49,-0.0245437,1.75312,2.44736,0.16574,-0.165986,2.79E-05,-0.00293295,0.0003635
28961,0.693722,0.673549,0.0628273,0.5,0.00350624,2.80149,2.80499,0.16574,-0.165707,2.79E-05,0.000393301,0.0003635
28971,0.571327,0.825302,0.0627374,0.51,0.0280499,2.80499,2.45437,0.16574,-0.165684,2.79E-05,0.000661284,0.0003635
28981,0.928509,1.48794,0.0592067,0.52,0.0420749,2.10374,1.39899,0.164778,-0.164802,2.79E-05,-0.000278682,0.0003635
28991,1.52753,1.61297,0.0624457,0.53,0.0560999,1.4025,1.4025,0.16574,-0.165611,2.79E-05,0.00153023,0.0003635
29001,1.26251,1.0865,0.0488709,0.54,0.0736311,1.4025,1.75312,0.161964,-0.162218,2.79E-05,-0.00302294,0.0003635
29010,1.24906,1.02793,0.0477772,0.55,0.0911623,1.39899,1.74961,0.161964,-0.161944,2.79E-05,0.000235021,0.0003635
29021,0.689506,0.983669,0.0476891,0.56,0.108693,2.10374,1.75312,0.161964,-0.161922,2.79E-05,0.000497505,0.0003635
29031,0.965996,1.02296,0.0510773,0.57,0.126225,1.75312,1.75312,0.162891,-0.162769,2.79E-05,0.00144523,0.0003635
29041,0.78494,1.11573,0.0446008,0.58,0.14025,1.74961,1.4025,0.161049,-0.16115,2.79E-05,-0.00120988,0.0003635
29050,-0.163232,-0.299781,-0.0153889,0.59,0.154275,1.05187,1.4025,0.14482,-0.146153,2.79E-05,-0.0158845,0.0003635
29061,0.763485,0.545908,0.0426002,0.6,0.171806,1.4025,1.75312,0.161964,-0.16065,2.79E-05,0.0156574,0.0003635
29071,1.42595,1.41309,0.047272,0.61,0.178818,0.697742,0.697742,0.161964,-0.161818,2.79E-05,0.00173998,0.0003635
29081,0.928431,1.20585,0.0344714,0.62,0.185831,1.05187,0.701248,0.158368,-0.158618,2.79E-05,-0.00297728,0.0003635
29091,0.266788,0.610718,0.0302434,0.63,0.199856,1.74961,1.39899,0.157496,-0.157561,2.79E-05,-0.000777543,0.0003635
29101,0.224247,0.0684951,0.0330995,0.64,0.220893,1.75312,2.10374,0.158368,-0.158275,2.79E-05,0.00110959,0.0003635
29111,0.895713,0.67005,0.0301329,0.65,0.231412,0.701248,1.05187,0.157496,-0.157533,2.79E-05,-0.000448287,0.0003635
29121,1.19813,0.918021,0.0298939,0.66,0.238424,0.350624,0.701248,0.157496,-0.157473,2.79E-05,0.000263706,0.0003635
29131,1.07009,1.29114,0.0330714,0.67,0.241931,0.697742,0.350624,0.158368,-0.158268,2.79E-05,0.00119346,0.0003635
29140,0.477621,0.766551,0.0301306,0.68,0.252449,1.39899,1.04837,0.157496,-0.157533,2.79E-05,-0.000441536,0.0003635
29151,0.280935,0.619887,0.0363255,0.69,0.266474,1.75312,1.4025,0.159251,-0.159081,2.79E-05,0.00201949,0.0003635
29161,0.973585,0.518885,0.0335895,0.7,0.280499,0.697742,1.39899,0.158368,-0.158397,2.79E-05,-0.000350118,0.0003635
29171,0.628779,0.637907,0.0177548,0.71,0.287512,0.701248,0.701248,0.154107,-0.154439,2.79E-05,-0.00395466,0.0003635
29180,-0.800251,-0.744415,-0.040312,0.72,0.294524,0.701248,0.697742,0.138608,-0.139922,2.79E-05,-0.0156527,0.0003635
29191,-0.0689098,0.225687,0.011801,0.73,0.301537,1.05187,0.701248,0.154107,-0.15295,2.79E-05,0.0137817,0.0003635
29201,0.857504,0.894441,0.0190497,0.74,0.301537,0,0,0.154939,-0.154762,2.79E-05,0.00210701,0.0003635
29211,0.947167,1.25539,0.0196337,0.75,0.298031,0,-0.350624,0.154939,-0.154908,2.79E-05,0.000367314,0.0003635
29221,0.74563,0.295965,0.0196807,0.76,0.308549,0.350624,1.04837,0.154939,-0.15492,2.79E-05,0.000227168,0.0003635
29231,-0.0636318,0.236934,0.0196845,0.77,0.319068,1.4025,1.04837,0.154939,-0.154921,2.79E-05,0.000215873,0.0003635
29241,0.672449,0.718587,0.0196848,0.78,0.322574,0.350624,0.350624,0.154939,-0.154921,2.79E-05,0.000214964,0.0003635
29251,0.633471,0.950849,0.0166346,0.79,0.322574,0.347118,0,0.154107,-0.154159,2.79E-05,-0.000617534,0.0003635
29261,0.719185,0.810912,0.0194391,0.8,0.326081,0.350624,0.350624,0.154939,-0.15486,2.79E-05,0.000946939,0.0003635
29271,0.962404,0.50132,0.0166148,0.81,0.333093,0,0.704755,0.154107,-0.154154,2.79E-05,-0.00055857,0.0003635
29281,0.818994,0.549436,0.0194375,0.82,0.340105,0.347118,0.694236,0.154939,-0.154859,2.79E-05,0.000951692,0.0003635
29291,0.292345,1.07905,0.0196649,0.83,0.340105,1.05187,0,0.154939,-0.154916,2.79E-05,0.000274241,0.0003635
29301,0.516452,0.885688,0.0196832,0.84,0.343612,0.697742,0.350624,0.154939,-0.154921,2.79E-05,0.000219658,0.0003635
29310,1.06143,0.646145,0.0196847,0.85,0.350624,0,0.701248,0.154939,-0.154921,2.79E-05,0.000215262,0.0003635
29321,0.861766,0.366149,0.0196849,0.86,0.357637,0.347118,1.04486,0.154939,-0.154921,2.79E-05,0.000214905,0.0003635
29331,0.539941,0.77662,0.0166346,0.87,0.364649,0.697742,0.347118,0.154107,-0.154159,2.79E-05,-0.000617549,0.0003635
29341,0.299294,0.860297,0.0194391,0.88,0.368155,1.05187,0.350624,0.154939,-0.15486,2.79E-05,0.000946939,0.0003635
29350,0.734095,0.553422,0.0166148,0.89,0.375168,0.347118,0.701248,0.154107,-0.154154,2.79E-05,-0.00055857,0.0003635
29361,0.82017,0.593845,0.0194375,0.9,0.38218,0.350624,0.701248,0.154939,-0.154859,2.79E-05,0.000951692,0.0003635
29371,0.288431,0.577302,0.00767189,0.91,0.385687,0.697742,0.347118,0.151666,-0.151918,2.79E-05,-0.00299868,0.0003635
29381,0.485095,0.268313,0.006724,0.92,0.392699,0.347118,0.697742,0.151666,-0.151681,2.79E-05,-0.000174925,0.0003635
29390,0.181188,0.470923,0.00664765,0.93,0.396205,0.701248,0.350624,0.151666,-0.151662,2.79E-05,5.26E-05,0.0003635
29401,0.396164,0.451266,0.00664151,0.94,0.399712,0.350624,0.350624,0.151666,-0.15166,2.79E-05,7.09E-05,0.0003635
29411,0.657113,0.431716,0.00664097,0.95,0.403218,0,0.350624,0.151666,-0.15166,2.79E-05,7.24E-05,0.0003635
29421,0.474375,0.484101,0.00958782,0.96,0.406724,0.350624,0.347118,0.152471,-0.152397,2.79E-05,0.000876695,0.0003635
29431,0.400833,0.41307,0.00687838,0.97,0.406724,0.350624,0.347118,0.151666,-0.15172,2.79E-05,-0.00063476,0.0003635
29441,0.0992487,0.65882,0.0066601,0.98,0.41023,0.697742,0,0.151666,-0.151665,2.79E-05,1.55E-05,0.0003635
29451,0.59215,0.413072,0.00664252,0.99,0.413737,0,0.350624,0.151666,-0.151661,2.79E-05,6.79E-05,0.0003635
29461,0.547812,0.596815,0.00372756,1,0.413737,0,0,0.150871,-0.150932,2.79E-05,-0.000722989,0.0003635
29471,0.627525,0.405482,0.00640625,1.01,0.417243,0,0.347118,0.151666,-0.151602,2.79E-05,0.000771716,0.0003635
29480,0.307017,0.322114,0.00370848,1.02,0.420749,0.350624,0.347118,0.150871,-0.150927,2.79E-05,-0.000666291,0.0003635
29491,0.344023,0.623747,0.0064047,1.03,0.420749,0.347118,0,0.151666,-0.151601,2.79E-05,0.000776291,0.0003635
29501,0.326466,0.3825,0.0066219,1.04,0.424255,0.350624,0.350624,0.151666,-0.151655,2.79E-05,0.000129193,0.0003635
29511,0.587775,0.363297,0.00663942,1.05,0.427761,0,0.350624,0.151666,-0.15166,2.79E-05,7.71E-05,0.0003635
29520,0.333627,0.615519,0.00664085,1.06,0.427761,0.350624,0,0.151666,-0.15166,2.79E-05,7.29E-05,0.0003635
29531,0.594589,0.641843,0.00664097,1.07,0.427761,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
29541,0.272586,0.330725,0.00372744,1.08,0.431268,0.347118,0.347118,0.150871,-0.150932,2.79E-05,-0.000722617,0.0003635
29551,0.375532,0.429497,0.0093531,1.09,0.434774,0.350624,0.350624,0.152471,-0.152338,2.79E-05,0.00157593,0.0003635
29560,0.586791,0.362146,0.00685948,1.1,0.43828,0,0.350624,0.151666,-0.151715,2.79E-05,-0.000578418,0.0003635
29571,0.609108,0.610487,0.00665855,1.11,0.43828,0,0,0.151666,-0.151665,2.79E-05,2.00E-05,0.0003635
29581,0.357414,0.6365,0.0066424,1.12,0.43828,0.347118,0,0.151666,-0.151661,2.79E-05,6.83E-05,0.0003635
29591,0.264872,0.32264,0.00372756,1.13,0.441786,0.350624,0.350624,0.150871,-0.150932,2.79E-05,-0.00072296,0.0003635
29601,0.298723,0.354461,0.00640625,1.14,0.445293,0.350624,0.350624,0.151666,-0.151602,2.79E-05,0.000771716,0.0003635
29611,0.563985,0.339061,0.00662208,1.15,0.448799,0,0.350624,0.151666,-0.151656,2.79E-05,0.000128821,0.0003635
29621,0.312958,0.591587,0.00663942,1.16,0.448799,0.347118,0,0.151666,-0.15166,2.79E-05,7.70E-05,0.0003635
29631,0.5716,0.617937,0.00664085,1.17,0.448799,0,0,0.151666,-0.15166,2.79E-05,7.29E-05,0.0003635
29641,0.320231,0.375246,0.00664097,1.18,0.452305,0.347118,0.347118,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
29650,0.298345,0.353448,0.00664097,1.19,0.455811,0.350624,0.350624,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
29661,0.559305,0.333908,0.00664097,1.2,0.459318,0,0.350624,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
29671,0.585628,0.586103,0.00664097,1.21,0.459318,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
29681,0.405695,0.681632,0.00958782,1.22,0.459318,0.347118,0,0.152471,-0.152397,2.79E-05,0.000876695,0.0003635
29690,0.329806,0.38427,0.00687838,1.23,0.462824,0.350624,0.350624,0.151666,-0.15172,2.79E-05,-0.00063476,0.0003635
29701,0.308721,0.0915289,0.0066601,1.24,0.469836,0.347118,0.697742,0.151666,-0.151665,2.79E-05,1.55E-05,0.0003635
29711,0.28929,0.567,0.00664252,1.25,0.469836,0.347118,0,0.151666,-0.151661,2.79E-05,6.79E-05,0.0003635
29721,0.270058,0.32416,-0.00481886,1.26,0.469836,0,0,0.148539,-0.148795,2.79E-05,-0.00305532,0.0003635
29731,-0.0491217,0.0143571,-0.00574225,1.27,0.473343,0.347118,0.347118,0.148539,-0.148564,2.79E-05,-0.000304595,0.0003635
29741,0.436423,0.210865,0.00564331,1.28,0.476849,0,0.350624,0.151666,-0.151411,2.79E-05,0.00304446,0.0003635
29751,0.203211,0.211511,-0.00489938,1.29,0.476849,0,0,0.148539,-0.148775,2.79E-05,-0.00281551,0.0003635
29761,0.163202,0.172146,-0.00574869,1.3,0.476849,0,0,0.148539,-0.148563,2.79E-05,-0.000285268,0.0003635
29771,0.136075,0.416889,0.00564283,1.31,0.476849,0.350624,0,0.151666,-0.151411,2.79E-05,0.00304601,0.0003635
29780,0.415327,0.460808,0.00656056,1.32,0.476849,0,0,0.151666,-0.15164,2.79E-05,0.000312045,0.0003635
29791,0.165306,0.219412,-0.00482547,1.33,0.476849,0,0,0.148539,-0.148794,2.79E-05,-0.00303565,0.0003635
29801,0.123941,0.178742,-0.00574279,1.34,0.476849,0,0,0.148539,-0.148564,2.79E-05,-0.000303,0.0003635
29811,-1.12301,-1.02995,-0.0562406,1.35,0.476849,0,0,0.134778,-0.13594,2.79E-05,-0.0138436,0.0003635
29820,-1.27702,-1.18611,-0.053398,1.36,0.476849,0,0,0.136664,-0.136651,2.79E-05,0.000161827,0.0003635
29831,0.0624046,0.10212,-0.0124418,1.37,0.469836,-0.697742,-0.694236,0.147779,-0.14689,2.79E-05,0.0105941,0.0003635
29841,0.815684,0.563696,-0.00635636,1.38,0.459318,-1.4025,-1.05187,0.148539,-0.148411,2.79E-05,0.00152491,0.0003635
29851,0.348704,0.342126,0.0026803,1.39,0.455811,-0.347118,-0.347118,0.150871,-0.15067,2.79E-05,0.00239673,0.0003635
29860,-0.0623779,0.214658,0.00632185,1.4,0.455811,0.347118,0,0.151666,-0.15158,2.79E-05,0.00102305,0.0003635
29871,-0.0784163,-0.0251286,0.00661522,1.41,0.459318,0.350624,0.350624,0.151666,-0.151654,2.79E-05,0.000149086,0.0003635
29881,0.46071,0.22752,0.00663888,1.42,0.459318,-0.347118,0,0.151666,-0.15166,2.79E-05,7.87E-05,0.0003635
29891,0.254779,0.525612,0.00664079,1.43,0.455811,0,-0.350624,0.151666,-0.15166,2.79E-05,7.30E-05,0.0003635
29901,0.281103,0.595081,0.00664091,1.44,0.452305,0,-0.347118,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
29911,0.585121,0.128775,0.00664097,1.45,0.455811,-0.347118,0.347118,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
