QGPIORecord, QRC v6.1.0, 23-12-2021 @ 15:27:47, Windows 10 Version 2009, 10.0.22000, x86_64
Time, desiredVelocityCart, VoltA, uA, P13, P22, P23, P33, x1, x2, x3, y1, y2
24393, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24403, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24414, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24423, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24433, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24443, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24454, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24463, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24473, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24483, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24494, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24504, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24513, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
24523, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
25453, 0.65382, 12, 15.8502, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0065382, -0.0519317, 0, 0, 0
25463, 0.630404, 12, 17.874, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.00880141, -0.0817978, 0.0441159, 0, 0
25474, 0.609445, 12, 13.991, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.010958, -0.0954723, 0.112449, 0.00242983, -0.00153548
25484, 0.587617, 8.45436, 8.45436, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0147099, -0.0972623, 0.191246, 0.00752089, -0.00307096
25494, 0.565222, 4.7005, 4.7005, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0199952, -0.0915133, 0.269255, 0.0141161, -0.00614192
25504, 0.544375, 3.73303, 3.73303, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.02581, -0.0819415, 0.338919, 0.0205957, -0.0107484
25515, 0.527074, 6.48447, 6.48447, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0310761, -0.0721735, 0.394683, 0.0258024, -0.0184258
25524, 0.514189, 9.59765, 9.59765, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0351755, -0.0637406, 0.436381, 0.0293893, -0.0261032
25534, 0.503818, 11.0869, 11.0869, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0387114, -0.0580375, 0.463992, 0.0327448, -0.0353161
25544, 0.493574, 8.97675, 8.97675, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0425339, -0.0557286, 0.478682, 0.0369102, -0.0460644
25554, 0.481597, 6.1545, 6.1545, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0473067, -0.0569795, 0.48218, 0.0424641, -0.0583483
25564, 0.468507, 4.48491, 4.48491, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0526459, -0.0612054, 0.477511, 0.0483651, -0.0706321
25574, 0.455816, 5.1029, 5.1029, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0577764, -0.0685268, 0.466049, 0.0535719, -0.0844514
25584, 0.444429, 7.56445, 7.56445, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0621965, -0.0789798, 0.449268, 0.0577373, -0.0998062
25594, 0.434332, 9.18488, 9.18488, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0658577, -0.0912735, 0.430983, 0.0610928, -0.113626
25604, 0.423909, 8.50188, 8.50188, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0694402, -0.105383, 0.411604, 0.0647953, -0.12898
25614, 0.411966, 6.43668, 6.43668, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0734781, -0.120567, 0.392673, 0.0693079, -0.144335
25624, 0.398594, 4.57255, 4.57255, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0779616, -0.136259, 0.375104, 0.0742832, -0.15969
25634, 0.384664, 4.6121, 4.6121, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0825383, -0.152109, 0.359327, 0.0791429, -0.175045
25644, 0.371783, 5.91615, 5.91615, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0865175, -0.167997, 0.345478, 0.0829612, -0.1904
25654, 0.359812, 7.24477, 7.24477, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0899915, -0.183229, 0.334741, 0.0863167, -0.204219
