QGPIORecord, QRC v6.1.0, x86_64, Windows 10 Version 2009,, 22-12-2021 @ 11:14:12, 10.0.19042,,,,,,
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
129393,0,1.01E-05,0,4.33E-05,1.90E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129403,0,1.01E-05,0,4.33E-05,1.90E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129414,0,1.01E-05,0,4.33E-05,1.90E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129424,0,1.01E-05,0,4.33E-05,1.90E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129434,0,1.01E-05,0,4.33E-05,1.91E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129443,0,1.01E-05,0,4.33E-05,1.91E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129454,0,1.01E-05,0,4.33E-05,1.91E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129464,0,1.01E-05,0,4.33E-05,1.92E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129474,0,1.01E-05,0,4.33E-05,1.92E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129483,0,1.01E-05,0,4.33E-05,1.92E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129494,0,1.01E-05,0,4.33E-05,1.92E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129504,0,1.01E-05,0,4.33E-05,1.93E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129514,0,1.01E-05,0,4.33E-05,1.93E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129523,0,1.01E-05,0,4.33E-05,1.93E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129533,0,1.01E-05,0,4.33E-05,1.94E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129544,0,1.01E-05,0,4.33E-05,1.94E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129554,0,1.01E-05,0,4.33E-05,1.94E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129563,0,1.01E-05,0,4.33E-05,1.94E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129573,0,1.01E-05,0,4.33E-05,1.95E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129584,0,1.01E-05,0,4.33E-05,1.95E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129594,0,1.01E-05,0,4.33E-05,1.95E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129604,0,1.01E-05,0,4.33E-05,1.96E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129613,0,1.01E-05,0,4.33E-05,1.96E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129624,0,1.01E-05,0,4.33E-05,1.96E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129634,0,1.01E-05,0,4.33E-05,1.96E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129644,0,1.01E-05,0,4.33E-05,1.97E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129653,0,1.01E-05,0,4.33E-05,1.97E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129664,0,1.01E-05,0,4.33E-05,1.97E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129674,0,1.01E-05,0,4.33E-05,1.97E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129684,0,1.01E-05,0,4.33E-05,1.98E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129693,0,1.01E-05,0,4.33E-05,1.98E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129703,0,1.01E-05,0,4.33E-05,1.98E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129714,0,1.01E-05,0,4.33E-05,1.99E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129724,0,1.01E-05,0,4.33E-05,1.99E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129733,0,1.01E-05,0,4.33E-05,1.99E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129743,0,1.01E-05,0,4.33E-05,1.99E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129754,0,1.01E-05,0,4.33E-05,2.00E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129764,0,1.01E-05,0,4.33E-05,2.00E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129774,0,1.01E-05,0,4.33E-05,2.00E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129783,0,1.01E-05,0,4.33E-05,2.01E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129794,0,1.01E-05,0,4.33E-05,2.01E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129804,0,1.01E-05,0,4.33E-05,2.01E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129814,0,1.01E-05,0,4.33E-05,2.01E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129823,0,1.01E-05,0,4.33E-05,2.02E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129833,0,1.01E-05,0,4.33E-05,2.02E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129844,0,1.01E-05,0,4.33E-05,2.02E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129854,0,1.01E-05,0,4.33E-05,2.02E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129863,0,1.01E-05,0,4.33E-05,2.03E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129873,0,1.01E-05,0,4.33E-05,2.03E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129884,0,1.01E-05,0,4.33E-05,2.03E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129894,0,1.01E-05,0,4.33E-05,2.04E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
129903,0,1.01E-05,0,4.33E-05,2.04E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129913,0,1.01E-05,0,4.33E-05,2.04E-05,0,0.000386342,0.0117516,0,-0.00465139,0.0122838,0.000231412
129924,0,1.01E-05,0,4.33E-05,2.04E-05,0,0.000386342,0.0117516,0,-0.00465138,0.0122838,0.000231412
