QGPIORecord, QRC v6.1.0, 21-12-2021 @ 20:11:48, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
16073, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16083, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16094, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16104, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16113, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16123, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16134, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16144, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16154, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16163, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16174, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16184, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16194, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16203, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16214, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16224, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16234, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16243, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16253, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16264, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16274, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16283, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16293, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16304, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16314, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16324, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
16333, 0, 0, 0, 0, 0.000278783, 0, 0, 0.0901672, 0, 2.13389, 0, 0
