QGPIORecord, QRC v6.1.0, 21-12-2021 @ 19:50:32, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2
55933, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
55944, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
55955, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
55964, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
55973, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
55984, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
55994, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56004, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56013, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56024, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56034, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56044, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56053, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56064, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56074, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56084, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56093, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56103, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56114, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56124, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56134, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56143, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56154, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56164, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56174, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56183, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56194, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56204, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56214, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56223, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56233, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56244, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56254, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56263, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56273, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56284, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56294, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56304, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56314, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56324, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56334, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56344, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56353, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56364, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56374, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56384, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56393, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56403, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56414, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56424, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
56433, 0, 0.000231412, -0.00587578, 0.00232569, 0.000304318, 0, 0, 0.43288, 0, 3.86342, 0.000231412, -0.00614192
