QGPIORecord, QRC v6.1.0, 21-12-2021 @ 19:19:04, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, xhat1, xhat2, xhat3, Phat00, Phat10, Phat11, Phat20, Phat21, Phat22, xmeasured, thetameasured
345054, 0, 0, -0.00881367, 0.00348854, 2.33989e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345064, 0, 0, -0.00881367, 0.00348854, 2.34268e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345075, 0, 0, -0.00881367, 0.00348854, 2.34546e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345083, 0, 0, -0.00881367, 0.00348854, 2.34825e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345094, 0, 0, -0.00881367, 0.00348854, 2.35104e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345104, 0, 0, -0.00881367, 0.00348854, 2.35383e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345114, 0, 0, -0.00881367, 0.00348854, 2.35661e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345123, 0, 0, -0.00881367, 0.00348854, 2.3594e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345134, 0, 0, -0.00881367, 0.00348854, 2.36219e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345144, 0, 0, -0.00881367, 0.00348854, 2.36498e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345154, 0, 0, -0.00881367, 0.00348853, 2.36777e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345163, 0, 0, -0.00881367, 0.00348853, 2.37055e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345174, 0, 0, -0.00881367, 0.00348853, 2.37334e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345184, 0, 0, -0.00881367, 0.00348853, 2.37613e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345194, 0, 0, -0.00881367, 0.00348853, 2.37892e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345203, 0, 0, -0.00881367, 0.00348853, 2.3817e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345213, 0, 0, -0.00881367, 0.00348853, 2.38449e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345224, 0, 0, -0.00881367, 0.00348853, 2.38728e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345234, 0, 0, -0.00881367, 0.00348853, 2.39007e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345243, 0, 0, -0.00881367, 0.00348853, 2.39286e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345253, 0, 0, -0.00881367, 0.00348853, 2.39564e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345264, 0, 0, -0.00881367, 0.00348853, 2.39843e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345274, 0, 0, -0.00881367, 0.00348853, 2.40122e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345284, 0, 0, -0.00881367, 0.00348853, 2.40401e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345293, 0, 0, -0.00881367, 0.00348853, 2.40679e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345304, 0, 0, -0.00881367, 0.00348853, 2.40958e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345314, 0, 0, -0.00881367, 0.00348853, 2.41237e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345324, 0, 0, -0.00881367, 0.00348854, 2.41516e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345333, 0, 0, -0.00881367, 0.00348854, 2.41795e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345344, 0, 0, -0.00881367, 0.00348854, 2.42073e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345354, 0, 0, -0.00881367, 0.00348854, 2.42352e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345364, 0, 0, -0.00881367, 0.00348854, 2.42631e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345373, 0, 0, -0.00881367, 0.00348854, 2.4291e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345383, 0, 0, -0.00881367, 0.00348854, 2.43188e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345394, 0, 0, -0.00881367, 0.00348854, 2.43467e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345404, 0, 0, -0.00881367, 0.00348854, 2.43746e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345414, 0, 0, -0.00881367, 0.00348854, 2.44025e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345423, 0, 0, -0.00881367, 0.00348854, 2.44304e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345434, 0, 0, -0.00881367, 0.00348854, 2.44582e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345444, 0, 0, -0.00881367, 0.00348854, 2.44861e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345454, 0, 0, -0.00881367, 0.00348854, 2.4514e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345463, 0, 0, -0.00881367, 0.00348854, 2.45419e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345474, 0, 0, -0.00881367, 0.00348853, 2.45697e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345484, 0, 0, -0.00881367, 0.00348853, 2.45976e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345494, 0, 0, -0.00881367, 0.00348853, 2.46255e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345503, 0, 0, -0.00881367, 0.00348853, 2.46534e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345513, 0, 0, -0.00881367, 0.00348853, 2.46813e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345524, 0, 0, -0.00881367, 0.00348853, 2.47091e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345534, 0, 0, -0.00881367, 0.00348853, 2.4737e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345543, 0, 0, -0.00881367, 0.00348853, 2.47649e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345553, 0, 0, -0.00881367, 0.00348853, 2.47928e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345564, 0, 0, -0.00881367, 0.00348853, 2.48206e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345574, 0, 0, -0.00881367, 0.00348853, 2.48485e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345583, 0, 0, -0.00881367, 0.00348853, 2.48764e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345593, 0, 0, -0.00881367, 0.00348853, 2.49043e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345604, 0, 0, -0.00881367, 0.00348853, 2.49322e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345614, 0, 0, -0.00881367, 0.00348853, 2.496e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345624, 0, 0, -0.00881367, 0.00348853, 2.49879e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345633, 0, 0, -0.00881367, 0.00348853, 2.50158e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345644, 0, 0, -0.00881367, 0.00348854, 2.50437e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345654, 0, 0, -0.00881367, 0.00348854, 2.50715e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345664, 0, 0, -0.00881367, 0.00348854, 2.50994e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345673, 0, 0, -0.00881367, 0.00348854, 2.51273e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345683, 0, 0, -0.00881367, 0.00348854, 2.51552e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345694, 0, 0, -0.00881367, 0.00348854, 2.51831e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345704, 0, 0, -0.00881367, 0.00348854, 2.52109e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345713, 0, 0, -0.00881367, 0.00348854, 2.52388e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345723, 0, 0, -0.00881367, 0.00348854, 2.52667e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345734, 0, 0, -0.00881367, 0.00348854, 2.52946e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345744, 0, 0, -0.00881367, 0.00348854, 2.53224e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345754, 0, 0, -0.00881367, 0.00348854, 2.53503e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345763, 0, 0, -0.00881367, 0.00348854, 2.53782e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345774, 0, 0, -0.00881367, 0.00348854, 2.54061e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345784, 0, 0, -0.00881367, 0.00348854, 2.5434e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345794, 0, 0, -0.00881367, 0.00348853, 2.54618e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345803, 0, 0, -0.00881367, 0.00348853, 2.54897e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345814, 0, 0, -0.00881367, 0.00348853, 2.55176e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345824, 0, 0, -0.00881367, 0.00348853, 2.55455e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345834, 0, 0, -0.00881367, 0.00348853, 2.55733e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345843, 0, 0, -0.00881367, 0.00348853, 2.56012e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345853, 0, 0, -0.00881367, 0.00348853, 2.56291e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345864, 0, 0, -0.00881367, 0.00348853, 2.5657e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345874, 0, 0, -0.00881367, 0.00348853, 2.56849e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345883, 0, 0, -0.00881367, 0.00348853, 2.57127e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345893, 0, 0, -0.00881367, 0.00348853, 2.57406e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345904, 0, 0, -0.00881367, 0.00348853, 2.57685e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345914, 0, 0, -0.00881367, 0.00348853, 2.57964e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345924, 0, 0, -0.00881367, 0.00348853, 2.58242e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345933, 0, 0, -0.00881367, 0.00348853, 2.58521e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345944, 0, 0, -0.00881367, 0.00348853, 2.588e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345954, 0, 0, -0.00881367, 0.00348853, 2.59079e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345964, 0, 0, -0.00881367, 0.00348854, 2.59358e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345973, 0, 0, -0.00881367, 0.00348854, 2.59636e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345984, 0, 0, -0.00881367, 0.00348854, 2.59915e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
345994, 0, 0, -0.00881367, 0.00348854, 2.60194e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346004, 0, 0, -0.00881367, 0.00348854, 2.60473e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346013, 0, 0, -0.00881367, 0.00348854, 2.60751e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346023, 0, 0, -0.00881367, 0.00348854, 2.6103e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346034, 0, 0, -0.00881367, 0.00348854, 2.61309e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346044, 0, 0, -0.00881367, 0.00348854, 2.61588e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346053, 0, 0, -0.00881367, 0.00348854, 2.61867e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346063, 0, 0, -0.00881367, 0.00348854, 2.62145e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346074, 0, 0, -0.00881367, 0.00348854, 2.62424e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346084, 0, 0, -0.00881367, 0.00348854, 2.62703e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346094, 0, 0, -0.00881367, 0.00348854, 2.62982e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346103, 0, 0, -0.00881367, 0.00348854, 2.6326e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346114, 0, 0, -0.00881367, 0.00348853, 2.63539e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346124, 0, 0, -0.00881367, 0.00348853, 2.63818e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346134, 0, 0, -0.00881367, 0.00348853, 2.64097e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346143, 0, 0, -0.00881367, 0.00348853, 2.64376e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346153, 0, 0, -0.00881367, 0.00348853, 2.64654e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346164, 0, 0, -0.00881367, 0.00348853, 2.64933e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346174, 0, 0, -0.00881367, 0.00348853, 2.65212e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346183, 0, 0, -0.00881367, 0.00348853, 2.65491e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346193, 0, 0, -0.00881367, 0.00348853, 2.65769e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346204, 0, 0, -0.00881367, 0.00348853, 2.66048e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346214, 0, 0, -0.00881367, 0.00348853, 2.66327e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346223, 0, 0, -0.00881367, 0.00348853, 2.66606e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346233, 0, 0, -0.00881367, 0.00348853, 2.66885e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346244, 0, 0, -0.00881367, 0.00348853, 2.67163e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346254, 0, 0, -0.00881367, 0.00348853, 2.67442e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346264, 0, 0, -0.00881367, 0.00348853, 2.67721e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346273, 0, 0, -0.00881367, 0.00348853, 2.68e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346284, 0, 0, -0.00881367, 0.00348854, 2.68278e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346294, 0, 0, -0.00881367, 0.00348854, 2.68557e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346304, 0, 0, -0.00881367, 0.00348854, 2.68836e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346313, 0, 0, -0.00881367, 0.00348854, 2.69115e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346323, 0, 0, -0.00881367, 0.00348854, 2.69394e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346334, 0, 0, -0.00881367, 0.00348854, 2.69672e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346344, 0, 0, -0.00881367, 0.00348854, 2.69951e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346353, 0, 0, -0.00881367, 0.00348854, 2.7023e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346363, 0, 0, -0.00881367, 0.00348854, 2.70509e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346374, 0, 0, -0.00881367, 0.00348854, 2.70787e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346384, 0, 0, -0.00881367, 0.00348854, 2.71066e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346394, 0, 0, -0.00881367, 0.00348854, 2.71345e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346403, 0, 0, -0.00881367, 0.00348854, 2.71624e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346414, 0, 0, -0.00881367, 0.00348854, 2.71903e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346424, 0, 0, -0.00881367, 0.00348854, 2.72181e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346434, 0, 0, -0.00881367, 0.00348853, 2.7246e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346443, 0, 0, -0.00881367, 0.00348853, 2.72739e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346454, 0, 0, -0.00881367, 0.00348853, 2.73018e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346464, 0, 0, -0.00881367, 0.00348853, 2.73297e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346474, 0, 0, -0.00881367, 0.00348853, 2.73575e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346483, 0, 0, -0.00881367, 0.00348853, 2.73854e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346493, 0, 0, -0.00881367, 0.00348853, 2.74133e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346504, 0, 0, -0.00881367, 0.00348853, 2.74412e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346514, 0, 0, -0.00881367, 0.00348853, 2.7469e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346523, 0, 0, -0.00881367, 0.00348853, 2.74969e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346533, 0, 0, -0.00881367, 0.00348853, 2.75248e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346544, 0, 0, -0.00881367, 0.00348853, 2.75527e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346554, 0, 0, -0.00881367, 0.00348853, 2.75806e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346564, 0, 0, -0.00881367, 0.00348853, 2.76084e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346573, 0, 0, -0.00881367, 0.00348853, 2.76363e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346584, 0, 0, -0.00881367, 0.00348853, 2.76642e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346594, 0, 0, -0.00881367, 0.00348853, 2.76921e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346604, 0, 0, -0.00881367, 0.00348854, 2.77199e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346613, 0, 0, -0.00881367, 0.00348854, 2.77478e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346624, 0, 0, -0.00881367, 0.00348854, 2.77757e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346634, 0, 0, -0.00881367, 0.00348854, 2.78036e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346644, 0, 0, -0.00881367, 0.00348854, 2.78315e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346653, 0, 0, -0.00881367, 0.00348854, 2.78593e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346663, 0, 0, -0.00881367, 0.00348854, 2.78872e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346674, 0, 0, -0.00881367, 0.00348854, 2.79151e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
346684, 0, 0, -0.00881367, 0.00348854, 2.7943e-05, 0, 0, 4.3288e-05, 0, 0.000386342, 0.0230255, -0.00921288
