QGPIORecord, QRC v6.1.0, 23-12-2021 @ 01:40:52, Windows 10 Version 2009, 10.0.22000, x86_64
Time, trajectoryV, VoltA, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
21233, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21243, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21254, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21263, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21273, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21283, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21294, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21304, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21313, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21323, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21334, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21344, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21353, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21363, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21373, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21384, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21393, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21403, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21413, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21424, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21434, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21443, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21453, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21464, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21474, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21483, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21493, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21504, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21514, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21523, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21533, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21543, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21554, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21563, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21573, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21583, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21594, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21604, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21613, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21623, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21634, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21644, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21653, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21663, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21673, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21684, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21693, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21703, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21713, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21724, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21733, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21743, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21753, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21764, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21774, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21783, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21793, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21805, 0, 0, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0, 0, 0, 0, 0
21814, 0, 67.8815, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0280011, -0.222407, 0, 0, 0
21824, 0, 69.9396, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0349674, -0.32866, 0.188935, 0, 0
21833, 0, 69.6252, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0342778, -0.349681, 0.468132, 0.000462824, 0
21843, 0, 67.5513, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0314548, -0.313768, 0.765186, 0.00173559, 0
21854, 0, 66.0293, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0286672, -0.246735, 1.03058, 0.00347118, -0.00153548
21864, 0, 66.7222, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0264993, -0.169753, 1.23672, 0.00497536, -0.00460644
21874, 0, 69.7788, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0249448, -0.0989933, 1.37285, 0.0057853, -0.0107484
21883, 0, 73.7124, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0240188, -0.042402, 1.4454, 0.00613242, -0.0153548
21894, 0, 75.3439, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0243575, -0.00370786, 1.46527, 0.00740518, -0.0214967
21904, 0, 76.0364, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0262012, 0.0179986, 1.44765, 0.00995071, -0.0276386
21914, 0, 76.3661, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0296188, 0.0252012, 1.40583, 0.0140004, -0.0353161
21924, 0, 76.699, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0343801, 0.0219705, 1.35211, 0.0193229, -0.0429934
21934, 0, 77.3204, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0400073, 0.0114307, 1.29422, 0.0253396, -0.0522063
21944, 0, 78.2937, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0461598, -0.00377648, 1.23721, 0.0318191, -0.0629547
21954, 0, 79.182, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0525024, -0.0217119, 1.18388, 0.0384144, -0.0752385
21964, 0, 79.7637, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0591512, -0.0394379, 1.13772, 0.0455882, -0.0859869
21974, 0, 79.732, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0659705, -0.0563551, 1.09738, 0.0529933, -0.0982707
21984, 0, 79.5615, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0729354, -0.0724152, 1.06103, 0.0606299, -0.11209
21994, 0, 79.6362, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.079853, -0.0873855, 1.02794, 0.0681508, -0.125909
22004, 0, 79.5066, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0867969, -0.101216, 0.997177, 0.0757874, -0.139729
22014, 0, 79.4869, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.0937488, -0.114746, 0.96663, 0.083424, -0.155084
22024, 0, 78.5975, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.100705, -0.128085, 0.93604, 0.0910606, -0.170438
22034, 0, 78.1141, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.107655, -0.140652, 0.906397, 0.0986972, -0.184258
22044, 0, 77.3162, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.114667, -0.152614, 0.877045, 0.10645, -0.198077
22054, 0, 75.8155, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.121715, -0.164879, 0.846318, 0.114202, -0.213432
22064, 0, 74.8877, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.128776, -0.176839, 0.815627, 0.121954, -0.227251
22074, 0, 74.6739, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.135651, -0.188791, 0.784712, 0.129359, -0.24107
22084, 0, 74.8774, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.142075, -0.201147, 0.753566, 0.13607, -0.25489
22094, 0, 75.0536, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.148006, -0.213463, 0.723686, 0.142203, -0.267174
22104, 0, 74.9569, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.153677, -0.225061, 0.696192, 0.148219, -0.277922
22114, 0, 73.771, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.159232, -0.235289, 0.671629, 0.154236, -0.287135
22124, 0, 72.8986, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.164665, -0.244414, 0.648831, 0.160137, -0.296348
22134, 0, 72.2421, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.169912, -0.25214, 0.628016, 0.165807, -0.304025
22144, 0, 72.154, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.174819, -0.258405, 0.609149, 0.171013, -0.310167
22154, 0, 71.6117, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.179476, -0.263799, 0.59099, 0.175989, -0.316309
22164, 0, 70.7537, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.183954, -0.266715, 0.576259, 0.180848, -0.317844
22174, 0, 69.4603, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.188267, -0.265856, 0.566313, 0.185592, -0.314773
22183, 0, 68.8349, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.192421, -0.260326, 0.561405, 0.190221, -0.307096
22194, 0, 68.2123, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.196233, -0.249783, 0.56103, 0.194386, -0.294812
22204, 0, 68.5483, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.199529, -0.23497, 0.563237, 0.197857, -0.279457
22214, 0, 68.5279, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.20239, -0.216537, 0.566705, 0.200866, -0.261032
22224, 0, 68.1533, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.204961, -0.193548, 0.572974, 0.203643, -0.236464
22234, 0, 67.2433, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.207436, -0.166479, 0.580481, 0.206419, -0.208825
22244, 0, 66.8242, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.209753, -0.135205, 0.589222, 0.208965, -0.17658
