QGPIORecord, QRC v6.1.0, 21-12-2021 @ 20:36:58, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
48214, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290712, 0.000694236, -0.0076774
48224, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290712, 0.000694236, -0.0076774
48235, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290712, 0.000694236, -0.0076774
48244, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290711, 0.000694236, -0.0076774
48253, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290712, 0.000694236, -0.0076774
48264, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290712, 0.000694236, -0.0076774
48274, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290712, 0.000694236, -0.0076774
48283, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290711, 0.000694236, -0.0076774
48293, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290712, 0.000694236, -0.0076774
48304, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290712, 0.000694236, -0.0076774
48314, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290712, 0.000694236, -0.0076774
48324, 0, 3.04318e-05, 0, 0, 1.01163e-05, 4.3288e-05, 0.000386342, 0.000694236, -0.00734472, 0.00290711, 0.000694236, -0.0076774
