QGPIORecord, QRC v6.1.0, 05-12-2021 @ 23:59:34, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, errorA
622001, 0, 0, 237.323, 230.129, 0, 0, 0.836578, -0.0721676, 0, 0, 0.0428953, 0
622011, 4.8, 4.65, 237.323, 230.129, 0, 0, 0.646044, -0.0721676, 0.01, 0, 6, 6
622020, 5.5848, 5.4348, 237.323, 230.129, 0, 0, 1.2494, -0.0721676, 0.02, 0, 6, 6
622030, 4.12841, 4.05932, 237.352, 230.153, 2.80149, 2.78746, 1.19043, -0.0721676, 0.03, 0, 3.19851, 3.19851
622041, 2.57767, 2.56108, 237.404, 230.209, 5.26287, 5.26287, 1.04299, -0.0706321, 0.04, 0, 0.737131, 0.737131
622051, 2.1215, 1.85044, 237.464, 230.272, 5.9536, 6.30422, 0.615063, -0.0660257, 0.05, 0, 0.0464015, 0.0464015
622061, 3.24115, 2.6177, 237.509, 230.325, 4.56162, 5.26287, 0.573872, -0.0614192, 0.06, 0, 1.43838, 1.43838
622070, 4.84021, 4.35267, 237.537, 230.357, 2.79798, 3.14861, 0.928316, -0.0537418, 0.07, 0, 3.20202, 3.20202
622081, 4.97292, 4.99193, 237.569, 230.385, 3.15562, 2.80499, 0.928316, -0.0460644, 0.08, 0, 2.84438, 2.84438
622091, 4.22297, 4.05661, 237.615, 230.427, 4.55811, 4.5511, 6.20328, -0.038387, 0.09, 0, 1.44189, 1.44189
622101, 3.28677, 3.42277, 237.674, 230.486, 5.96412, 5.61349, 0.739443, -0.0291741, 0.1, 0, 0.0358825, 0.0358825
622110, 3.30268, 2.94072, 237.734, 230.549, 5.95009, 6.30072, 0.809944, -0.0199612, 0.11, 0, 0.0499077, 0.0499077
622120, 3.58129, 3.43399, 237.79, 230.606, 5.60999, 5.61349, 0.809944, -0.00921288, 0.12, 0, 0.390013, 0.390013
622131, 4.1933, 4.30246, 237.835, 230.651, 4.90874, 4.55811, 0.516429, 0.00307096, 0.13, 0, 1.09126, 1.09126
622141, 4.33324, 3.95303, 237.888, 230.704, 4.91224, 5.25235, 0.52696, 0.0138193, 0.14, 0, 1.08776, 1.08776
622150, 3.64243, 3.50192, 237.948, 230.763, 5.9536, 5.96061, 2.48787, 0.0230322, 0.15, 0, 0.0464015, 0.0464015
622160, 3.368, 3.50707, 238.011, 230.823, 6.30422, 5.96061, 2.76309, 0.0322451, 0.16, 0, -0.304223, -0.304223
622171, 3.59749, 3.23777, 238.07, 230.883, 5.96762, 6.31474, 0.646044, 0.041458, 0.17, 0, 0.0323763, 0.0323763
622181, 3.89344, 3.48464, 238.126, 230.942, 5.60297, 5.94308, 1.00171, 0.0506709, 0.18, 0, 0.397026, 0.397026
622191, 3.66768, 3.75023, 238.186, 231.002, 5.95009, 5.60999, 1.04299, 0.0583483, 0.19, 0, 0.0499077, 0.0499077
622200, 3.65457, 3.7931, 238.246, 231.058, 5.97464, 5.62051, 3.10711, 0.0644902, 0.2, 0, 0.0253639, 0.0253639
622211, 3.67472, 3.31285, 238.305, 231.121, 5.9536, 6.30422, 3.54942, 0.0706321, 0.21, 0, 0.0464015, 0.0464015
622221, 3.39468, 3.26763, 238.368, 231.184, 6.31124, 6.31124, 0.809944, 0.0737031, 0.22, 0, -0.311235, -0.311235
622231, 3.35397, 3.50137, 238.431, 231.244, 6.31124, 5.9571, 1.55902, 0.076774, 0.23, 0, -0.311235, -0.311235
622240, 3.59376, 3.50154, 238.491, 231.303, 5.96061, 5.96412, 0.573872, 0.0783095, 0.24, 0, 0.0393887, 0.0393887
622251, 3.87661, 3.77797, 238.547, 231.359, 5.61349, 5.61349, 1.04299, 0.079845, 0.25, 0, 0.386507, 0.386507
622261, 3.65788, 3.56766, 238.607, 231.419, 5.95009, 5.95009, 1.08786, 0.0783095, 0.26, 0, 0.0499077, 0.0499077
622271, 3.65038, 3.56332, 238.666, 231.479, 5.96762, 5.96412, 1.04299, 0.076774, 0.27, 0, 0.0323763, 0.0323763
622280, 3.37973, 3.299, 238.729, 231.538, 6.31124, 6.31124, 0.928316, 0.0737031, 0.28, 0, -0.311235, -0.311235
622290, 3.62513, 3.53002, 238.789, 231.598, 5.9536, 5.96061, 0.928316, 0.0690966, 0.29, 0, 0.0464015, 0.0464015
622301, 3.90609, 3.80691, 238.845, 231.657, 5.60999, 5.60999, 1.46795, 0.0644902, 0.3, 0, 0.390013, 0.390013
622311, 3.6766, 3.86064, 238.905, 231.714, 5.96061, 5.60648, 1.55902, 0.0583483, 0.31, 0, 0.0393887, 0.0393887
622320, 3.39845, 3.36321, 238.968, 231.773, 6.31474, 6.31474, 1.55902, 0.0522063, 0.32, 0, -0.314742, -0.314742
622330, 3.649, 3.60193, 239.028, 231.836, 5.95009, 5.9536, 1.04299, 0.0445289, 0.33, 0, 0.0499077, 0.0499077
622341, 3.64431, 3.60528, 239.087, 231.896, 5.96412, 5.9571, 1.04299, 0.0368515, 0.34, 0, 0.0358825, 0.0358825
622351, 3.37131, 3.60817, 239.147, 231.955, 6.31124, 5.96061, 1.08786, 0.0276386, 0.35, 0, -0.311235, -0.311235
622361, 3.8916, 3.60789, 239.206, 232.015, 5.60999, 5.96762, 2.07505, 0.0184258, 0.36, 0, 0.390013, 0.390013
622370, 3.67053, 3.62571, 239.266, 232.075, 5.95009, 5.95009, 0.630166, 0.00921288, 0.37, 0, 0.0499077, 0.0499077
622381, 3.66303, 3.62409, 239.326, 232.134, 5.96762, 5.96061, 0.784975, -0.00153548, 0.38, 0, 0.0323763, 0.0323763
622391, 3.68129, 3.63196, 239.385, 232.194, 5.95009, 5.9571, 1.04299, -0.0122838, 0.39, 0, 0.0499077, 0.0499077
622401, 3.67379, 3.63757, 239.445, 232.253, 5.96762, 5.9571, 0.928316, -0.0230322, 0.4, 0, 0.0323763, 0.0323763
622410, 3.68364, 3.63231, 239.504, 232.313, 5.96061, 5.97113, 1.04299, -0.0337806, 0.41, 0, 0.0393887, 0.0393887
622420, 3.4139, 3.38337, 239.564, 232.373, 6.30422, 6.29721, 0.662757, -0.0460644, 0.42, 0, -0.304223, -0.304223
622431, 3.649, 3.87438, 239.627, 232.432, 5.96061, 5.61349, 0.718628, -0.0568128, 0.43, 0, 0.0393887, 0.0393887
622441, 3.93184, 3.66135, 239.683, 232.492, 5.61349, 5.9536, 2.07505, -0.0675611, 0.44, 0, 0.386507, 0.386507
622450, 3.42701, 3.39025, 239.743, 232.551, 6.30773, 6.31124, 2.07505, -0.0783095, 0.45, 0, -0.307729, -0.307729
622460, 3.66726, 3.62128, 239.806, 232.615, 5.9571, 5.96061, 1.46795, -0.0890579, 0.46, 0, 0.0428953, 0.0428953
622471, 3.67006, 3.62643, 239.866, 232.671, 5.96061, 5.96061, 0.895553, -0.0998062, 0.47, 0, 0.0393887, 0.0393887
622481, 3.67802, 3.63973, 239.925, 232.73, 5.9571, 5.95009, 1.08786, -0.109019, 0.48, 0, 0.0428953, 0.0428953
622490, 3.40313, 3.63811, 239.985, 232.793, 6.30773, 5.96061, 0.784975, -0.118232, 0.49, 0, -0.307729, -0.307729
622500, 3.64057, 3.64326, 240.048, 232.853, 5.96061, 5.96061, 0.809944, -0.127445, 0.5, 0, 0.0393887, 0.0393887
622511, 3.64573, 3.64841, 240.107, 232.913, 5.96061, 5.96061, 0.9636, -0.136658, 0.51, 0, 0.0393887, 0.0393887
622521, 3.65368, 3.38998, 240.167, 232.972, 5.9571, 6.30072, 1.2494, -0.144335, 0.52, 0, 0.0428953, 0.0428953
622531, 3.37599, 3.60879, 240.23, 233.035, 6.31124, 5.96762, 1.2494, -0.150477, 0.53, 0, -0.311235, -0.311235
622540, 3.61017, 3.61575, 240.29, 233.091, 5.96762, 5.96412, 1.55902, -0.156619, 0.54, 0, 0.0323763, 0.0323763
622551, 3.62001, 3.63403, 240.349, 233.151, 5.96061, 5.94659, 0.69897, -0.162761, 0.55, 0, 0.0393887, 0.0393887
622561, 3.63078, 3.62471, 240.409, 233.214, 5.9536, 5.96762, 0.718628, -0.167367, 0.56, 0, 0.0464015, 0.0464015
622571, 3.62843, 3.63981, 240.469, 233.274, 5.96412, 5.9536, 2.76309, -0.170438, 0.57, 0, 0.0358825, 0.0358825
622580, 3.35823, 3.63501, 240.532, 233.333, 6.30773, 5.96762, 2.76309, -0.173509, 0.58, 0, -0.307729, -0.307729
622590, 3.59568, 3.37295, 240.591, 233.393, 5.96061, 6.31124, 2.76309, -0.175045, 0.59, 0, 0.0393887, 0.0393887
622601, 3.60925, 3.61213, 240.651, 233.456, 5.95009, 5.95009, 0.895553, -0.17658, 0.6, 0, 0.0499077, 0.0499077
622611, 3.59894, 3.8768, 240.711, 233.512, 5.97113, 5.617, 0.461284, -0.175045, 0.61, 0, 0.0288701, 0.0288701
622620, 3.61113, 3.65788, 240.77, 233.572, 5.96061, 5.96412, 1.46795, -0.175045, 0.62, 0, 0.0393887, 0.0393887
622630, 3.61629, 3.39356, 240.83, 233.635, 5.96061, 6.31124, 0.69897, -0.173509, 0.63, 0, 0.0393887, 0.0393887
622641, 3.62424, 3.63273, 240.889, 233.695, 5.9571, 5.95009, 0.69897, -0.170438, 0.64, 0, 0.0428953, 0.0428953
622651, 3.62985, 3.63111, 240.949, 233.754, 5.9571, 5.96061, 0.928316, -0.167367, 0.65, 0, 0.0428953, 0.0428953
622661, 3.36058, 3.64441, 241.009, 233.814, 6.30072, 5.95009, 0.928316, -0.162761, 0.66, 0, -0.300716, -0.300716
622670, 3.58491, 3.63464, 241.072, 233.873, 5.97113, 5.97113, 0.784975, -0.158154, 0.67, 0, 0.0288701, 0.0288701
622681, 3.5971, 3.37483, 241.131, 233.933, 5.96061, 6.31124, 0.784975, -0.152013, 0.68, 0, 0.0393887, 0.0393887
622691, 3.33858, 3.61944, 241.191, 233.996, 6.2902, 5.94308, 0.809944, -0.147406, 0.69, 0, -0.290198, -0.290198
622701, 3.55308, 3.60243, 241.254, 234.056, 5.97464, 5.97464, 0.630166, -0.141264, 0.7, 0, 0.0253639, 0.0253639
622710, 3.57603, 3.63021, 241.314, 234.115, 5.95009, 5.94308, 0.630166, -0.133587, 0.71, 0, 0.0499077, 0.0499077
622721, 3.56853, 3.6132, 241.373, 234.171, 5.96762, 5.97464, 1.31458, -0.127445, 0.72, 0, 0.0323763, 0.0323763
622731, 3.5924, 3.64097, 241.433, 234.231, 5.94308, 5.94308, 0.630166, -0.119767, 0.73, 0, 0.0569201, 0.0569201
622741, 3.5746, 3.62668, 241.492, 234.291, 5.97464, 5.97113, 0.646044, -0.11209, 0.74, 0, 0.0253639, 0.0253639
622750, 3.58914, 3.90762, 241.552, 234.35, 5.96061, 5.61349, 0.718628, -0.102877, 0.75, 0, 0.0393887, 0.0393887
622760, 3.5971, 3.69459, 241.612, 234.41, 5.9571, 5.9536, 1.04299, -0.0951998, 0.76, 0, 0.0428953, 0.0428953
622771, 3.5999, 3.42893, 241.671, 234.469, 5.96061, 6.30422, 1.08786, -0.0859869, 0.77, 0, 0.0393887, 0.0393887
622781, 3.33297, 3.65815, 241.731, 234.533, 6.30072, 5.9571, 0.718628, -0.0783095, 0.78, 0, -0.300716, -0.300716
622790, 3.56292, 3.65833, 241.794, 234.589, 5.96412, 5.96412, 0.718628, -0.0690966, 0.79, 0, 0.0358825, 0.0358825
622800, 3.57041, 3.66574, 241.854, 234.648, 5.96061, 5.96061, 1.04299, -0.0614192, 0.8, 0, 0.0393887, 0.0393887
