QGPIORecord, QRC v6.1.0, 05-12-2021 @ 15:24:42, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, errorA
99790, 0, 0, 167.283, 167.202, 0, 0, 0.487266, -0.113626, 0, 0, 0, 0
99801, 0, 0, 167.283, 167.202, 0, 0, 0.487266, -0.118232, 0, 0, 0, 0
99811, 0, 0, 167.283, 167.202, 0, 0, 0.375187, -0.122838, 0, 0, 0, 0
99820, 0, 0, 167.283, 167.202, 0, 0, 0.375187, -0.125909, 0, 0, 0, 0
99830, 0, 0, 167.283, 167.202, 0, 0, 0.375187, -0.127445, 0, 0, 0, 0
99841, 0, 0, 167.283, 167.202, 0, 0, 4.96481, -0.127445, 0, 0, 0, 0
99850, 0, 0, 167.283, 167.202, 0, 0, 0.52696, -0.127445, 0, 0, 0, 0
99860, 0, 0, 167.283, 167.202, 0, 0, 0.53794, -0.127445, 0, 0, 0, 0
99870, 0, 0, 167.283, 167.202, 0, 0, 1.66222, -0.124374, 0, 0, 0, 0
99880, 0, 0, 167.283, 167.202, 0, 0, 1.66222, -0.122838, 0, 0, 0, 0
99890, 0, 0, 167.283, 167.202, 0, 0, 1.66222, -0.118232, 0, 0, 0, 0
99900, 0, 0, 167.283, 167.202, 0, 0, 0.586964, -0.113626, 0, 0, 0, 0
99910, 0, 0, 167.283, 167.202, 0, 0, 0.586964, -0.109019, 0, 0, 0, 0
99920, 0, 0, 167.283, 167.202, 0, 0, 0.52696, -0.102877, 0, 0, 0, 0
99931, 0, 0, 167.283, 167.202, 0, 0, 1.08786, -0.0951998, 0, 0, 0, 0
99940, 0, 0, 167.283, 167.202, 0, 0, 1.13681, -0.0875224, 0, 0, 0, 0
99950, 0, 0, 167.283, 167.202, 0, 0, 8.2674, -0.079845, 0, 0, 0, 0
99960, 0, 0, 167.283, 167.202, 0, 0, 8.2674, -0.0721676, 0, 0, 0, 0
99971, 0, 0, 167.283, 167.202, 0, 0, 1.55902, -0.0629547, 0, 0, 0, 0
99980, 0, 0, 167.283, 167.202, 0, 0, 3.54942, -0.0537418, 0, 0, 0, 0
