QGPIORecord, QRC v6.1.0, 05-12-2021 @ 00:23:56, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, ValueIn11
41791, 0, 0, 78.6906, 78.2348, 15.0944, 14.3861, 0.718628, -0.0168903, 0, 0, -0.0943708, 0
41800, 16.515, 16.515, 78.6906, 78.2348, 0, 0, 0.718628, -0.0168903, 0.01, 0, 15, 0
41810, 18.657, 18.657, 78.6906, 78.2348, 0, 0, 0.680374, -0.0168903, 0.02, 0, 15, 0
41821, 12.6999, 12.7347, 78.7607, 78.3084, 7.3561, 7.32454, 0.784975, -0.0168903, 0.03, 0, 7.6439, 0
41831, 5.31411, 5.71624, 78.915, 78.4522, 15.0558, 14.6947, 1.55902, -0.0153548, 0.04, 0, -0.0558023, 0
41840, 0.0444538, 2.02686, 79.1113, 78.6345, 19.8348, 18.0852, 1.66222, -0.0107484, 0.05, 0, -4.83481, 0
41850, 1.48883, 4.09167, 79.2937, 78.7958, 17.8959, 15.8096, 8.2674, -0.00307096, 0.06, 0, -2.89586, 0
41861, 9.96188, 10.9517, 79.3918, 78.8904, 9.82449, 9.47387, 8.2674, 0.00460644, 0.07, 0, 5.17551, 0
41871, 16.1132, 15.995, 79.4409, 78.9465, 4.90874, 5.60999, 4.13916, 0.0153548, 0.08, 0, 10.0913, 0
41880, 13.6398, 13.4215, 79.5216, 79.0377, 8.46407, 9.16532, 0.680374, 0.0261032, 0.09, 0, 6.53593, 0
41890, 7.28089, 7.34847, 79.6758, 79.1885, 15.0874, 15.438, 0.718628, 0.038387, 0.1, 0, -0.0873585, 0
41901, 2.4275, 3.99689, 79.8722, 79.3743, 19.4842, 18.4253, 0.496606, 0.0522063, 0.11, 0, -4.48419, 0
41911, 2.38552, 4.86661, 80.0615, 79.5496, 18.9407, 17.1911, 0.453242, 0.0675611, 0.12, 0, -3.94072, 0
41920, 8.3777, 10.3366, 80.1913, 79.6688, 12.9871, 11.9388, 0.453242, 0.0844514, 0.13, 0, 2.01288, 0
41930, 13.7222, 14.6765, 80.2754, 79.7495, 8.39394, 8.39394, 2.48787, 0.101342, 0.14, 0, 6.60606, 0
41940, 13.0249, 12.8134, 80.3736, 79.8617, 9.8841, 10.943, 2.48787, 0.118232, 0.15, 0, 5.1159, 0
41951, 8.01895, 7.69097, 80.5244, 80.0194, 15.0944, 16.1217, 1.2494, 0.136658, 0.16, 0, -0.0943708, 0
41961, 3.15299, 4.59305, 80.7207, 80.2088, 19.5017, 18.7899, 1.66222, 0.153548, 0.17, 0, -4.50172, 0
41970, 2.80353, 5.05168, 80.91, 80.3876, 19.2352, 17.8818, 1.66222, 0.173509, 0.18, 0, -4.23524, 0
41980, 8.27496, 10.3998, 81.0503, 80.5138, 13.7164, 12.6505, 8.2674, 0.191935, 0.19, 0, 1.28358, 0
41991, 13.1447, 13.0747, 81.145, 80.6225, 9.45984, 10.5257, 8.2674, 0.210361, 0.2, 0, 5.54016, 0
42001, 11.5116, 10.5327, 81.2572, 80.7523, 11.6618, 13.4149, 0.718628, 0.225716, 0.21, 0, 3.33824, 0
42010, 6.85012, 7.16891, 81.422, 80.9206, 16.3286, 16.6757, 2.07505, 0.24107, 0.22, 0, -1.32857, 0
42020, 3.39066, 5.20017, 81.6183, 81.1029, 19.2984, 18.2465, 0.836578, 0.256425, 0.23, 0, -4.29836, 0
42031, 3.97743, 6.6822, 81.8006, 81.2712, 18.2079, 16.4793, 12.3956, 0.270245, 0.24, 0, -3.20791, 0
42041, 8.52625, 9.57855, 81.9339, 81.4044, 13.6603, 13.6568, 1.04299, 0.284064, 0.25, 0, 1.33968, 0
42050, 12.1533, 10.8821, 82.0425, 81.5341, 10.5398, 12.647, 1.08786, 0.294812, 0.26, 0, 4.46024, 0
