QGPIORecord, QRC v6.1.0, 05-12-2021 @ 19:58:25, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, errorA
35110, 0, 0, 31.8227, 31.5176, 0, 0, 8.2674, 0.0307096, 0, 0, 0.0393887, 0
35121, 4.8, 4.8, 31.8227, 31.5176, 0, 0, 3.54942, 0.0307096, 0.01, 0, 6, 6
35130, 5.5848, 5.5848, 31.8227, 31.5176, 0, 0, 0.487266, 0.0307096, 0.02, 0, 6, 6
35140, 3.84511, 3.85633, 31.8542, 31.5492, 3.15562, 3.14159, 0.302336, 0.0307096, 0.03, 0, 2.84438, 2.84438
35150, 1.98157, 1.98341, 31.9138, 31.6088, 5.95009, 5.95009, 0.516429, 0.0322451, 0.04, 0, 0.0499077, 0.0499077
35161, 1.97407, 1.42052, 31.9734, 31.6719, 5.96762, 6.66186, 2.76309, 0.0368515, 0.05, 0, 0.0323763, 0.0323763
35171, 3.11153, 2.73645, 32.019, 31.7245, 4.5511, 4.90874, 2.76309, 0.0429934, 0.06, 0, 1.4489, 1.4489
35180, 4.69793, 4.56218, 32.0471, 31.7525, 2.80499, 2.80499, 8.2674, 0.0491354, 0.07, 0, 3.19501, 3.19501
35190, 4.55484, 4.69958, 32.0821, 31.7841, 3.50624, 3.15562, 6.20328, 0.0568128, 0.08, 0, 2.49376, 2.49376
35201, 4.04233, 3.67474, 32.1277, 31.8332, 4.55461, 4.90173, 1.04299, 0.0644902, 0.09, 0, 1.44539, 1.44539
35211, 2.8345, 2.97129, 32.1873, 31.8928, 6.30072, 5.96061, 1.55902, 0.0752385, 0.1, 0, -0.300716, -0.300716
35221, 3.06725, 2.69875, 32.2504, 31.9559, 5.96061, 6.30773, 1.66222, 0.0859869, 0.11, 0, 0.0393887, 0.0393887
