QGPIORecord, QRC v6.1.0, 05-12-2021 @ 16:10:50, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, errorA
29111, 0, 0, 35.7602, 35.7006, 0, 0, 8.2674, -0.00153548, 0, 0, 0, 0
29120, 4, 4, 35.7602, 35.7006, 0, 0, 0.718628, -0.00153548, 0.01, 0, 0, 5
29130, 4.697, 4.697, 35.7602, 35.7006, 0, 0, 1.55902, -0.00153548, 0.02, 0, 0, 5
29140, 3.4305, 3.44172, 35.7847, 35.7251, 2.45437, 2.44034, 1.66222, -0.00153548, 0.03, 0, 0, 2.54563
29151, 1.82748, 1.83224, 35.8338, 35.7742, 4.90173, 4.89822, 8.2674, 0, 0.04, 0, 0, 0.0982738
29161, 1.55507, 1.55751, 35.8864, 35.8233, 5.25936, 5.25936, 0.680374, 0.00307096, 0.05, 0, 0, -0.259363
29170, 2.36322, 2.92386, 35.925, 35.8618, 4.20398, 3.50624, 0.516429, 0.00921288, 0.06, 0, 0, 0.796016
29180, 4.15437, 3.97358, 35.9495, 35.8864, 2.10374, 2.45437, 8.2674, 0.0153548, 0.07, 0, 0, 2.89626
29191, 3.71942, 3.76745, 35.9811, 35.9179, 3.15211, 3.15562, 6.20328, 0.0230322, 0.08, 0, 0, 1.84789
29201, 3.13552, 3.19147, 36.0231, 35.96, 4.20398, 4.19697, 2.48787, 0.0307096, 0.09, 0, 0, 0.796016
29210, 2.40498, 2.72839, 36.0757, 36.0091, 5.25586, 4.91575, 3.54942, 0.038387, 0.1, 0, 0, -0.255857
29220, 2.64421, 2.74294, 36.1248, 36.0582, 4.91224, 4.91224, 3.54942, 0.0475999, 0.11, 0, 0, 0.0877552
29231, 3.22024, 3.03847, 36.1669, 36.1038, 4.20749, 4.55811, 8.2674, 0.0583483, 0.12, 0, 0, 0.79251
29241, 3.05583, 3.10849, 36.2125, 36.1494, 4.5511, 4.5476, 12.3956, 0.0690966, 0.13, 0, 0, 0.448898
29250, 2.55741, 2.60495, 36.2651, 36.2019, 5.25235, 5.25586, 12.3956, 0.0783095, 0.14, 0, 0, -0.25235
29260, 2.23331, 2.56367, 36.3212, 36.2545, 5.61349, 5.26287, 8.2674, 0.0859869, 0.15, 0, 0, -0.613493
29271, 2.4311, 2.81033, 36.3738, 36.3036, 5.25936, 4.90874, 12.3956, 0.0936643, 0.16, 0, 0, -0.259363
29281, 2.67544, 2.82305, 36.4193, 36.3527, 4.90874, 4.90874, 0.69897, 0.0998062, 0.17, 0, 0, 0.0912614
29290, 2.97427, 2.56369, 36.4684, 36.4053, 4.5511, 5.24884, 0.718628, 0.105948, 0.18, 0, 0, 0.448898
29300, 2.74794, 2.79547, 36.5175, 36.4544, 4.91224, 4.91575, 1.66222, 0.110555, 0.19, 0, 0, 0.0877552
29310, 2.48528, 2.53513, 36.5701, 36.5035, 5.25586, 5.25586, 1.08786, 0.115161, 0.2, 0, 0, -0.255857
29321, 2.16631, 2.77716, 36.6227, 36.5561, 5.60999, 4.90874, 1.08786, 0.116697, 0.21, 0, 0, -0.609987
29331, 2.63947, 2.78988, 36.6753, 36.6052, 4.91224, 4.90874, 3.54942, 0.118232, 0.22, 0, 0, 0.0877552
29340, 2.66012, 2.52491, 36.7244, 36.6578, 4.90173, 5.25586, 0.630166, 0.118232, 0.23, 0, 0, 0.0982738
29350, 2.94871, 2.76694, 36.77, 36.7068, 4.55811, 4.90874, 0.646044, 0.118232, 0.24, 0, 0, 0.441885
29361, 2.73261, 2.78527, 36.819, 36.7559, 4.90523, 4.90173, 4.96481, 0.116697, 0.25, 0, 0, 0.0947676
29371, 2.18482, 2.79897, 36.8716, 36.805, 5.60648, 4.90173, 4.96481, 0.113626, 0.26, 0, 0, -0.606481
29380, 2.65286, 2.51815, 36.9242, 36.8541, 4.91575, 5.26988, 1.31458, 0.110555, 0.27, 0, 0, 0.084249
29390, 2.67863, 2.77505, 36.9733, 36.9067, 4.89822, 4.90173, 0.784975, 0.107484, 0.28, 0, 0, 0.10178
29401, 2.68441, 2.78314, 37.0224, 36.9558, 4.90874, 4.90874, 0.809944, 0.102877, 0.29, 0, 0, 0.0912614
29411, 2.69993, 2.51816, 37.0715, 37.0084, 4.90523, 5.25586, 4.96481, 0.0967353, 0.3, 0, 0, 0.0947676
29420, 2.42142, 2.75458, 37.1241, 37.0575, 5.26988, 4.91575, 0.350238, 0.0905933, 0.31, 0, 0, -0.269881
29430, 2.39783, 2.77755, 37.1732, 37.1066, 5.25235, 4.90173, 0.354951, 0.0844514, 0.32, 0, 0, -0.25235
29441, 2.92084, 2.78844, 37.2223, 37.1556, 4.55461, 4.90523, 1.31458, 0.076774, 0.33, 0, 0, 0.445392
29451, 2.69963, 2.79885, 37.2678, 37.2047, 4.90874, 4.90874, 1.31458, 0.0690966, 0.34, 0, 0, 0.0912614
29461, 2.70954, 2.53668, 37.3204, 37.2538, 4.91224, 5.25235, 1.66222, 0.0614192, 0.35, 0, 0, 0.0877552
29470, 2.44969, 2.77639, 37.373, 37.3064, 5.25235, 4.90874, 0.416987, 0.0522063, 0.36, 0, 0, -0.25235
29480, 2.6866, 2.7835, 37.4221, 37.3555, 4.91224, 4.91575, 0.423754, 0.0429934, 0.37, 0, 0, 0.0877552
29491, 2.42955, 2.52877, 37.4747, 37.4081, 5.24884, 5.24884, 0.630166, 0.0337806, 0.38, 0, 0, -0.248844
29501, 2.66134, 2.48286, 37.5238, 37.4607, 4.91575, 5.26287, 0.646044, 0.0245677, 0.39, 0, 0, 0.084249
29510, 2.6815, 2.73513, 37.5729, 37.5098, 4.90523, 4.90173, 0.69897, 0.0153548, 0.4, 0, 0, 0.0947676
29520, 2.6919, 2.74042, 37.622, 37.5589, 4.90874, 4.91224, 0.809944, 0.00614192, 0.41, 0, 0, 0.0912614
29531, 2.42974, 2.75826, 37.6711, 37.6079, 5.25235, 4.90523, 0.809944, -0.00460644, 0.42, 0, 0, -0.25235
29541, 2.66945, 2.48817, 37.7237, 37.6605, 4.90874, 5.25936, 0.809944, -0.0138193, 0.43, 0, 0, 0.0912614
29550, 2.40167, 2.45201, 37.7727, 37.7096, 5.25936, 5.25936, 0.52696, -0.0230322, 0.44, 0, 0, -0.259363
29560, 2.64601, 2.69636, 37.8253, 37.7622, 4.90874, 4.90874, 0.53794, -0.0307096, 0.45, 0, 0, 0.0912614
29571, 2.65874, 2.71469, 37.8744, 37.8078, 4.90874, 4.90173, 1.2494, -0.0399225, 0.46, 0, 0, 0.0912614
29581, 2.67707, 2.72278, 37.9235, 37.8604, 4.90173, 4.90874, 1.31458, -0.0475999, 0.47, 0, 0, 0.0982738
29590, 2.40746, 2.7383, 37.9761, 37.9095, 5.25586, 4.90523, 3.54942, -0.0568128, 0.48, 0, 0, -0.255857
29600, 2.64669, 2.46541, 38.0252, 37.9621, 4.91224, 5.26287, 1.2494, -0.0629547, 0.49, 0, 0, 0.0877552
29611, 2.65892, 2.42876, 38.0743, 38.0147, 4.91224, 5.26287, 1.46795, -0.0706321, 0.5, 0, 0, 0.0877552
29621, 2.67957, 2.68103, 38.1234, 38.0638, 4.90173, 4.90173, 3.54942, -0.076774, 0.51, 0, 0, 0.0982738
29631, 2.40716, 2.69193, 38.176, 38.1129, 5.25936, 4.90523, 0.69897, -0.0813805, 0.52, 0, 0, -0.259363
29640, 2.6515, 2.69953, 38.225, 38.1619, 4.90874, 4.91224, 0.718628, -0.0859869, 0.53, 0, 0, 0.0912614
29650, 2.66983, 2.43968, 38.2741, 38.211, 4.90173, 5.25235, 2.76309, -0.0905933, 0.54, 0, 0, 0.0982738
29661, 2.67792, 2.685, 38.3232, 38.2636, 4.90874, 4.90173, 2.76309, -0.0936643, 0.55, 0, 0, 0.0912614
29671, 2.41295, 2.41539, 38.3758, 38.3162, 5.25586, 5.25586, 0.928316, -0.0967353, 0.56, 0, 0, -0.255857
29680, 2.65217, 2.65181, 38.4249, 38.3653, 4.91224, 4.91575, 2.76309, -0.0982707, 0.57, 0, 0, 0.0877552
29690, 2.38671, 2.66916, 38.4775, 38.4109, 5.25936, 4.90874, 2.76309, -0.0982707, 0.58, 0, 0, -0.259363
29701, 2.63106, 2.68189, 38.5266, 38.4635, 4.90874, 4.90874, 0.718628, -0.0982707, 0.59, 0, 0, 0.0912614
29711, 2.92989, 2.70022, 38.5722, 38.5126, 4.5511, 4.90173, 0.718628, -0.0982707, 0.6, 0, 0, 0.448898
29720, 2.70635, 2.42781, 38.6213, 38.5616, 4.90874, 5.25936, 0.453242, -0.0967353, 0.61, 0, 0, 0.0912614
29730, 2.44138, 2.67496, 38.6738, 38.6142, 5.25586, 4.90523, 2.76309, -0.0951998, 0.62, 0, 0, -0.255857
29741, 2.6806, 2.68256, 38.7229, 38.6633, 4.91224, 4.91224, 2.76309, -0.0921288, 0.63, 0, 0, 0.0877552
29751, 2.70406, 2.70601, 38.772, 38.7124, 4.89822, 4.89822, 1.66222, -0.0890579, 0.64, 0, 0, 0.10178
29760, 2.70703, 2.70898, 38.8211, 38.7615, 4.91224, 4.91224, 8.2674, -0.0844514, 0.65, 0, 0, 0.0877552
29770, 2.44717, 2.44913, 38.8737, 38.8141, 5.25235, 5.25235, 8.2674, -0.079845, 0.66, 0, 0, -0.25235
29780, 2.68408, 2.68604, 38.9228, 38.8632, 4.91224, 4.91224, 4.96481, -0.0752385, 0.67, 0, 0, 0.0877552
29791, 2.69912, 2.70107, 38.9719, 38.9123, 4.90874, 4.90874, 4.96481, -0.0690966, 0.68, 0, 0, 0.0912614
29801, 2.71465, 2.7194, 39.021, 38.9614, 4.90523, 4.90173, 1.55902, -0.0629547, 0.69, 0, 0, 0.0947676
29810, 2.44455, 2.44419, 39.0736, 39.014, 5.25936, 5.26287, 6.20328, -0.0568128, 0.7, 0, 0, -0.259363
29820, 2.68609, 2.69085, 39.1226, 39.063, 4.91224, 4.90874, 8.2674, -0.0506709, 0.71, 0, 0, 0.0877552
29831, 2.70674, 2.70638, 39.1717, 39.1121, 4.90173, 4.90523, 8.2674, -0.0429934, 0.72, 0, 0, 0.0982738
29841, 2.43713, 2.44189, 39.2243, 39.1612, 5.25586, 5.25235, 3.54942, -0.0353161, 0.73, 0, 0, -0.255857
29850, 2.67636, 2.676, 39.2734, 39.2138, 4.91224, 4.91575, 0.586964, -0.0291741, 0.74, 0, 0, 0.0877552
29860, 2.6914, 2.69335, 39.3225, 39.2629, 4.90874, 4.90874, 2.76309, -0.0214967, 0.75, 0, 0, 0.0912614
29871, 2.42362, 2.70607, 39.3716, 39.312, 5.25936, 4.90874, 2.76309, -0.0153548, 0.76, 0, 0, -0.259363
29881, 2.67638, 2.72721, 39.4242, 39.3611, 4.89822, 4.89822, 0.53794, -0.0076774, 0.77, 0, 0, 0.10178
29890, 2.67654, 2.72737, 39.4733, 39.4102, 4.91575, 4.91575, 2.07505, -0.00153548, 0.78, 0, 0, 0.084249
29900, 2.6995, 2.46984, 39.5224, 39.4628, 4.90173, 5.25235, 2.26269, 0.00460644, 0.79, 0, 0, 0.0982738
29911, 2.4299, 2.71516, 39.575, 39.5118, 5.25586, 4.90173, 2.07505, 0.0122838, 0.8, 0, 0, -0.255857
29921, 2.67473, 2.72325, 39.624, 39.5609, 4.90523, 4.90874, 2.26269, 0.0184258, 0.81, 0, 0, 0.0947676
29930, 2.68233, 3.01366, 39.6731, 39.6065, 4.91224, 4.56162, 1.08786, 0.0230322, 0.82, 0, 0, 0.0877552
29940, 2.69737, 2.51938, 39.7187, 39.6556, 4.90874, 5.25586, 0.646044, 0.0291741, 0.83, 0, 0, 0.0912614
29950, 2.70729, 2.4725, 39.7713, 39.7082, 4.91224, 5.26988, 0.354951, 0.0337806, 0.84, 0, 0, 0.0877552
29961, 2.72794, 3.01271, 39.8204, 39.7573, 4.90173, 4.5476, 0.369908, 0.0399225, 0.85, 0, 0, 0.0982738
29971, 2.45272, 2.78405, 39.873, 39.8064, 5.26287, 4.91224, 2.76309, 0.0445289, 0.86, 0, 0, -0.262869
29980, 2.42449, 2.51859, 39.9256, 39.859, 5.25235, 5.25936, 2.76309, 0.0475999, 0.87, 0, 0, -0.25235
29990, 2.67262, 2.49085, 39.9712, 39.908, 4.89822, 5.24884, 1.08786, 0.0522063, 0.88, 0, 0, 0.10178
30001, 2.95048, 2.72544, 40.0202, 39.9571, 4.56863, 4.91224, 1.08786, 0.0552773, 0.89, 0, 0, 0.431367
30011, 2.74694, 2.74609, 40.0693, 40.0062, 4.89822, 4.90173, 1.66222, 0.0583483, 0.9, 0, 0, 0.10178
30020, 2.46941, 2.75137, 40.1219, 40.0553, 5.26287, 4.91224, 2.07505, 0.0598837, 0.91, 0, 0, -0.262869
30030, 2.43277, 2.48591, 40.1745, 40.1079, 5.26287, 5.25936, 2.26269, 0.0614192, 0.92, 0, 0, -0.262869
30041, 2.67943, 2.73026, 40.2236, 40.1605, 4.90874, 4.90874, 1.55902, 0.0614192, 0.93, 0, 0, 0.0912614
30051, 2.69776, 2.74578, 40.2727, 40.2096, 4.90173, 4.90523, 0.69897, 0.0614192, 0.94, 0, 0, 0.0982738
30060, 2.70865, 2.47569, 40.3218, 40.2622, 4.90523, 5.25936, 0.718628, 0.0614192, 0.95, 0, 0, 0.0947676
30070, 2.43856, 2.72003, 40.3744, 40.3113, 5.25936, 4.90874, 2.07505, 0.0598837, 0.96, 0, 0, -0.259363
30081, 2.6801, 2.72995, 40.4235, 40.3604, 4.91224, 4.91224, 2.26269, 0.0583483, 0.97, 0, 0, 0.0877552
30091, 2.70074, 2.74779, 40.4725, 40.4094, 4.90173, 4.90523, 8.2674, 0.0552773, 0.98, 0, 0, 0.0982738
30100, 2.70883, 2.4777, 40.5216, 40.462, 4.90874, 5.25936, 0.784975, 0.0522063, 0.99, 0, 0, 0.0912614
30110, 2.44386, 2.72204, 40.5742, 40.5111, 5.25586, 4.90874, 0.809944, 0.0491354, 1, 0, 0, -0.255857
30120, 2.68589, 2.73477, 40.6233, 40.5602, 4.90874, 4.90874, 1.66222, 0.0460644, 1.01, 0, 0, 0.0912614
30131, 2.70703, 2.4754, 40.6724, 40.6128, 4.89822, 5.24884, 1.66222, 0.041458, 1.02, 0, 0, 0.10178
30141, 2.4295, 2.7128, 40.725, 40.6619, 5.26287, 4.90874, 0.53794, 0.038387, 1.03, 0, 0, -0.262869
30150, 2.67335, 2.72272, 40.7741, 40.711, 4.91224, 4.91224, 2.76309, 0.0337806, 1.04, 0, 0, 0.0877552
30160, 2.68839, 2.73775, 40.8232, 40.7601, 4.90874, 4.90874, 2.76309, 0.0291741, 1.05, 0, 0, 0.0912614
30171, 2.70392, 2.75047, 40.8723, 40.8091, 4.90523, 4.90874, 0.397953, 0.0245677, 1.06, 0, 0, 0.0947676
30181, 2.43943, 2.48831, 40.9249, 40.8617, 5.25235, 5.25235, 4.96481, 0.0184258, 1.07, 0, 0, -0.25235
30190, 2.67914, 2.73082, 40.9739, 40.9108, 4.90874, 4.90523, 0.646044, 0.0138193, 1.08, 0, 0, 0.0912614
30200, 2.41698, 2.74123, 41.023, 40.9599, 5.25235, 4.90874, 0.573872, 0.00921288, 1.09, 0, 0, -0.25235
30211, 2.65388, 2.75115, 41.0756, 41.009, 4.91224, 4.91224, 0.586964, 0.00460644, 1.1, 0, 0, 0.0877552
30221, 2.67453, 2.4941, 41.1247, 41.0616, 4.90173, 5.24884, 3.54942, -0.00153548, 1.11, 0, 0, 0.0982738
30230, 2.68262, 2.72869, 41.1738, 41.1107, 4.90874, 4.91224, 3.54942, -0.00614192, 1.12, 0, 0, 0.0912614
30240, 2.41484, 2.74373, 41.2264, 41.1598, 5.25936, 4.90874, 3.54942, -0.0107484, 1.13, 0, 0, -0.259363
30251, 2.65638, 2.75926, 41.2755, 41.2054, 4.91224, 4.90523, 1.2494, -0.0168903, 1.14, 0, 0, 0.0877552
30261, 2.67984, 2.77527, 41.3246, 41.2579, 4.89822, 4.90173, 0.928316, -0.0199612, 1.15, 0, 0, 0.10178
30271, 2.6828, 2.78336, 41.3737, 41.307, 4.91224, 4.90874, 0.928316, -0.0245677, 1.16, 0, 0, 0.0877552
30280, 2.69223, 2.79047, 41.4227, 41.3561, 4.91575, 4.91575, 0.630166, -0.0291741, 1.17, 0, 0, 0.084249
30290, 2.7152, 2.53013, 41.4718, 41.4087, 4.90173, 5.25586, 0.680374, -0.0322451, 1.18, 0, 0, 0.0982738
30301, 2.4484, 2.77777, 41.5244, 41.4578, 5.25235, 4.90173, 0.662757, -0.0368515, 1.19, 0, 0, -0.25235
30311, 2.6825, 2.78305, 41.5735, 41.5069, 4.91575, 4.91224, 3.54942, -0.0399225, 1.2, 0, 0, 0.084249
30320, 2.41935, 2.51759, 41.6261, 41.556, 5.25936, 5.25936, 3.54942, -0.041458, 1.21, 0, 0, -0.259363
