QGPIORecord, QRC v6.1.0, 05-12-2021 @ 01:30:16, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, ValueIn11
51341, 0, 0, 0.291018, 0.0175312, 0, 0, 8.2674, -0.00460644, 0, 0, 0, 0
51350, 16.515, 16.515, 0.291018, 0.0175312, 0, 0, 1.2494, -0.00460644, 0.01, 0, 15, 0
51360, 18.657, 18.657, 0.291018, 0.0175312, 0, 0, 1.19043, -0.00460644, 0.02, 0, 15, 0
51371, 13.0937, 13.1246, 0.361143, 0.087656, 6.99846, 6.97041, 0.36478, -0.00460644, 0.03, 0, 8.00154, 0
51381, 5.7435, 5.7475, 0.508405, 0.234918, 14.7122, 14.7122, 0.369908, -0.00307096, 0.04, 0, 0.287809, 0
51391, 1.2641, 1.30671, 0.697742, 0.420749, 18.818, 18.7829, 0.928316, 0.00307096, 0.05, 0, -3.818, 0
51400, 2.13565, 2.91674, 0.873054, 0.589049, 17.5312, 16.83, 1.55902, 0.00921288, 0.06, 0, -2.53121, 0
51410, 9.88869, 11.1328, 0.974735, 0.683717, 10.1611, 9.13025, 0.53794, 0.0184258, 0.07, 0, 4.83891, 0
51421, 16.3587, 17.0011, 1.02382, 0.725792, 4.91224, 4.56162, 6.20328, 0.0276386, 0.08, 0, 10.0878, 0
51431, 13.8848, 13.8052, 1.10797, 0.813448, 8.46757, 8.8182, 4.13916, 0.0399225, 0.09, 0, 6.53243, 0
51440, 7.91527, 7.44201, 1.25523, 0.967723, 14.7367, 15.3994, 4.13916, 0.0522063, 0.1, 0, 0.263266, 0
51450, 2.7761, 3.25437, 1.45158, 1.16407, 19.4386, 19.1511, 8.2674, 0.0660257, 0.11, 0, -4.4386, 0
51461, 3.07648, 3.6653, 1.63741, 1.34289, 18.5901, 18.2395, 8.2674, 0.0829159, 0.12, 0, -3.59009, 0
51471, 8.72883, 10.1436, 1.76715, 1.46561, 12.9906, 11.9352, 2.76309, 0.0998062, 0.13, 0, 2.00937, 0
51480, 14.4512, 14.8547, 1.84779, 1.54625, 8.05384, 8.05384, 6.20328, 0.116697, 0.14, 0, 6.94616, 0
51490, 13.0149, 12.2565, 1.94947, 1.65495, 10.2593, 11.3146, 6.20328, 0.132051, 0.15, 0, 4.74074, 0
51501, 7.67357, 7.13504, 2.10374, 1.81974, 15.7255, 16.4443, 3.54942, 0.148942, 0.16, 0, -0.725494, 0
51511, 3.40462, 3.58185, 2.30009, 2.01609, 19.5087, 19.4842, 3.54942, 0.164296, 0.17, 0, -4.50873, 0
51520, 3.40546, 4.31966, 2.49294, 2.19841, 18.9232, 18.2325, 2.48787, 0.181187, 0.18, 0, -3.92319, 0
51530, 8.58946, 9.9922, 2.62968, 2.32464, 13.7059, 12.661, 3.54942, 0.199612, 0.19, 0, 1.2941, 0
51540, 13.4492, 13.8623, 2.72435, 2.42281, 9.45984, 9.44932, 3.10711, 0.214967, 0.2, 0, 5.54016, 0
51551, 11.8199, 10.6749, 2.84006, 2.54904, 11.6583, 13.0643, 0.865048, 0.228787, 0.21, 0, 3.34175, 0
51561, 7.14346, 6.58524, 3.00485, 2.72084, 16.3391, 17.0298, 8.2674, 0.24107, 0.22, 0, -1.33909, 0
51570, 3.32348, 4.55436, 3.2012, 2.90667, 19.635, 18.6111, 8.2674, 0.253354, 0.23, 0, -4.63495, 0
51580, 3.81201, 5.98817, 3.38703, 3.07497, 18.5901, 16.8405, 2.76309, 0.264103, 0.24, 0, -3.59009, 0
51591, 9.08218, 9.98334, 3.52027, 3.2047, 13.3377, 12.9731, 2.76309, 0.274851, 0.25, 0, 1.66226, 0
51601, 12.8248, 11.4502, 3.62195, 3.32392, 10.1541, 11.9037, 2.48787, 0.284064, 0.26, 0, 4.84592, 0
51610, 10.3628, 9.11674, 3.75168, 3.46767, 13.0187, 14.4247, 0.784975, 0.28867, 0.27, 0, 1.98132, 0
51620, 5.36478, 6.23414, 3.92699, 3.63948, 17.8152, 17.1175, 0.809944, 0.291741, 0.28, 0, -2.81521, 0
51631, 4.10963, 5.08248, 4.11633, 3.8183, 18.5901, 17.8888, 0.895553, 0.293277, 0.29, 0, -3.59009, 0
51641, 6.30694, 7.00934, 4.27762, 3.97608, 16.1287, 15.7641, 1.55902, 0.293277, 0.3, 0, -1.12871, 0
51650, 10.3922, 9.95378, 4.39683, 4.10581, 12.2718, 12.9906, 1.66222, 0.293277, 0.31, 0, 2.72815, 0
51660, 10.8011, 10.2909, 4.52305, 4.23554, 12.2543, 12.945, 1.55902, 0.291741, 0.32, 0, 2.74568, 0
51671, 7.31346, 7.45359, 4.68083, 4.39332, 15.7781, 15.7886, 1.55902, 0.287135, 0.33, 0, -0.778089, 0
51681, 5.27989, 6.19445, 4.85614, 4.56513, 17.5242, 16.83, 4.96481, 0.279457, 0.34, 0, -2.5242, 0
51691, 5.69923, 5.96401, 5.02444, 4.72992, 16.8159, 16.8019, 6.20328, 0.270245, 0.35, 0, -1.81594, 0
51700, 8.09199, 8.32789, 5.1682, 4.87718, 14.4071, 14.4212, 6.20328, 0.261032, 0.36, 0, 0.592853, 0
51710, 9.77484, 9.25211, 5.29793, 5.01042, 12.9556, 13.6568, 0.52696, 0.250283, 0.37, 0, 2.04444, 0
51721, 8.13274, 8.66798, 5.44519, 5.15768, 14.7122, 14.3616, 0.52696, 0.237999, 0.38, 0, 0.287809, 0
51731, 5.79971, 6.03759, 5.61349, 5.32247, 16.8685, 16.8335, 0.573872, 0.222645, 0.39, 0, -1.86853, 0
51740, 5.98455, 5.78735, 5.77829, 5.49428, 16.4583, 16.8229, 2.76309, 0.204219, 0.4, 0, -1.4583, 0
51750, 7.29343, 7.0596, 5.92555, 5.64505, 15.0803, 15.431, 0.615063, 0.185793, 0.41, 0, -0.0803461, 0
51761, 8.82611, 9.3027, 6.0658, 5.77829, 13.6778, 13.3377, 0.354951, 0.167367, 0.42, 0, 1.32215, 0
51771, 8.26214, 8.81046, 6.20955, 5.91854, 14.3616, 14.0004, 2.07505, 0.147406, 0.43, 0, 0.638433, 0
51780, 6.42312, 6.61767, 6.36734, 6.07982, 16.1147, 16.1217, 2.26269, 0.124374, 0.44, 0, -1.11469, 0
51790, 6.59979, 5.2878, 6.52862, 6.25163, 15.8096, 17.1841, 2.76309, 0.101342, 0.45, 0, -0.809645, 0
51801, 7.31802, 6.89838, 6.67939, 6.4059, 15.0523, 15.438, 2.76309, 0.0783095, 0.46, 0, -0.0522966, 0
51811, 8.0556, 9.16364, 6.82315, 6.54265, 14.3756, 13.3237, 6.20328, 0.0552773, 0.47, 0, 0.624409, 0
