QGPIORecord, QRC v6.1.0, 05-12-2021 @ 00:45:40, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, ValueIn11
6671, 0, 0, 0, 0, 0, 0, 8.2674, 0, 0, 0, 0, 0
6680, 7.512, 7.512, 0, 0, 0, 0, 0.928316, 0, 0.01, 0, 6, 0
6690, 9.2748, 9.2748, 0, 0, 0, 0, 0.928316, 0, 0.02, 0, 6, 0
6701, 5.34401, 5.80494, 0.0455811, 0.0420749, 4.5476, 4.17944, 6.20328, 0, 0.03, 0, 1.4524, 0
6711, -1.24859, -0.705831, 0.147262, 0.14025, 10.1541, 9.80696, 12.3956, 0.00153548, 0.04, 0, -4.15408, 0
6720, -3.79478, -3.56707, 0.259462, 0.248943, 11.213, 11.1989, 1.66222, 0.00614192, 0.05, 0, -5.21296, 0
6730, 2.11439, 2.32427, 0.312056, 0.305043, 5.26988, 5.27339, 2.48787, 0.0122838, 0.06, 0, 0.730119, 0
6740, 10.2437, 10.457, 0.301537, 0.294524, -1.05187, -1.05187, 2.76309, 0.0184258, 0.07, 0, 7.05187, 0
6751, 10.564, 10.7773, 0.305043, 0.298031, 0.347118, 0.347118, 1.91627, 0.0230322, 0.08, 0, 5.65288, 0
6761, 3.43645, 2.34152, 0.378674, 0.378674, 7.36661, 8.41147, 2.07505, 0.0261032, 0.09, 0, -1.36661, 0
6770, -4.84039, -4.49954, 0.511911, 0.511911, 13.6568, 13.3097, 0.586964, 0.0307096, 0.1, 0, -7.65681, 0
6780, -4.93457, -3.62255, 0.63463, 0.620605, 11.9352, 10.8939, 2.76309, 0.0353161, 0.11, 0, -5.93525, 0
6791, 4.31814, 6.38826, 0.666186, 0.641642, 3.15211, 1.74961, 0.836578, 0.0429934, 0.12, 0, 2.84789, 0
6801, 13.9257, 13.7696, 0.627617, 0.610086, -3.85336, -3.14861, 0.836578, 0.0506709, 0.13, 0, 9.85336, 0
6810, 10.6705, 8.53823, 0.638136, 0.641642, 1.05888, 3.17666, 4.13916, 0.0537418, 0.14, 0, 4.94111, 0
6820, 1.23984, -0.175728, 0.736311, 0.750336, 9.75086, 10.7992, 4.96481, 0.0552773, 0.15, 0, -3.75086, 0
6831, -7.39947, -6.05457, 0.894092, 0.894092, 15.7711, 14.3686, 1.66222, 0.0568128, 0.16, 0, -9.77108, 0
6841, -5.84967, -1.90659, 1.0133, 0.985254, 12.2403, 9.09169, 1.46795, 0.0598837, 0.17, 0, -6.24029, 0
6850, 7.20279, 9.88481, 1.02032, 0.974735, 0.350624, -1.05187, 3.54942, 0.0660257, 0.18, 0, 5.64938, 0
6860, 16.7642, 14.5905, 0.96071, 0.943179, -5.96061, -3.15562, 1.00171, 0.0690966, 0.19, 0, 11.9606, 0
6871, 9.72077, 5.81865, 0.981748, 1.00279, 2.4719, 5.99918, 1.04299, 0.0675611, 0.2, 0, 3.5281, 0
6881, 0.783669, -2.75442, 1.09044, 1.12901, 10.4381, 12.8469, 1.08786, 0.0660257, 0.21, 0, -4.43808, 0
6890, -7.60979, -6.241, 1.25173, 1.26926, 16.1007, 14.025, 2.76309, 0.0644902, 0.22, 0, -10.1007, 0
6900, -4.48869, 1.93243, 1.36393, 1.32887, 11.2375, 5.61349, 3.10711, 0.0614192, 0.23, 0, -5.2375, 0
6910, 8.47648, 12.5815, 1.36042, 1.30082, -0.347118, -2.80149, 8.2674, 0.0598837, 0.24, 0, 6.34712, 0
6921, 16.9523, 12.5379, 1.30432, 1.2903, -5.62752, -0.701248, 8.2674, 0.0568128, 0.25, 0, 11.6275, 0
6931, 10.2368, 3.50148, 1.32887, 1.37445, 2.46489, 8.0889, 2.48787, 0.0522063, 0.26, 0, 3.53511, 0
6940, -0.427836, -5.28608, 1.44457, 1.5182, 11.8125, 14.6175, 3.54942, 0.0491354, 0.27, 0, -5.81253, 0
6950, -7.53064, -4.87234, 1.60586, 1.64092, 16.1217, 12.2648, 3.54942, 0.0475999, 0.28, 0, -10.1217, 0
6961, -2.63346, 6.44772, 1.70754, 1.66196, 9.83501, 1.75312, 0.328488, 0.0460644, 0.29, 0, -3.83501, 0
6971, 10.7438, 16.0317, 1.69001, 1.61287, -1.74961, -4.90523, 0.809944, 0.0475999, 0.3, 0, 7.74961, 0
6980, 17.0066, 11.773, 1.64092, 1.62339, -4.93328, 1.05538, 0.761519, 0.0491354, 0.31, 0, 10.9333, 0
6990, 7.03614, 2.2819, 1.69702, 1.72156, 5.59596, 9.79644, 1.2494, 0.0475999, 0.32, 0, 0.404038, 0
7001, -2.90222, -4.50513, 1.83376, 1.86532, 13.6288, 14.3265, 1.31458, 0.0491354, 0.33, 0, -7.62876, 0
7011, -7.39991, -4.35269, 1.98804, 1.98453, 15.431, 12.2508, 0.928316, 0.0475999, 0.34, 0, -9.43097, 0
7020, -0.504361, 6.07158, 2.06518, 2.01258, 7.71023, 2.45788, 2.76309, 0.0491354, 0.35, 0, -1.71023, 0
7030, 12.5972, 14.5793, 2.03362, 1.97752, -3.15562, -3.50624, 0.865048, 0.0522063, 0.36, 0, 9.15562, 0
7041, 14.8745, 10.331, 2.00557, 1.99856, -2.82603, 2.11777, 0.680374, 0.0522063, 0.37, 0, 8.82603, 0
7051, 3.00314, 0.589246, 2.08972, 2.10374, 8.72704, 10.8097, 0.69897, 0.0491354, 0.38, 0, -2.72704, 0
7061, -6.50746, -5.62192, 2.25101, 2.25451, 15.6834, 14.6421, 0.24683, 0.0460644, 0.39, 0, -9.68342, 0
7070, -7.31557, -3.47703, 2.39126, 2.36321, 14.0565, 10.9009, 2.26269, 0.0429934, 0.4, 0, -8.05652, 0
7080, 4.40434, 7.41407, 2.42281, 2.37373, 2.80499, 1.05187, 2.26269, 0.0399225, 0.41, 0, 3.19501, 0
7091, 15.8742, 14.996, 2.36321, 2.33866, -5.60648, -3.84284, 6.20328, 0.038387, 0.42, 0, 11.6065, 0
7100, 12.7038, 8.2083, 2.3597, 2.37373, -0.350624, 3.88842, 0.680374, 0.0322451, 0.43, 0, 6.35062, 0
7110, 1.88748, -0.297746, 2.45788, 2.48593, 9.77891, 11.1779, 0.718628, 0.0261032, 0.44, 0, -3.77891, 0
7120, -7.52829, -5.75668, 2.61916, 2.62968, 16.4127, 14.323, 0.662757, 0.0199612, 0.45, 0, -10.4127, 0
7131, -6.72012, -1.68749, 2.75591, 2.71734, 13.3237, 9.11973, 0.718628, 0.0138193, 0.46, 0, -7.32372, 0
7141, 6.93151, 9.25282, 2.76292, 2.71734, 0.701248, -0.350624, 0.9636, 0.0076774, 0.47, 0, 5.29875, 0
7150, 16.8377, 13.3135, 2.70331, 2.6963, -5.96762, -2.10374, 0.469624, 0, 0.48, 0, 11.9676, 0
7160, 12, 6.00171, 2.71033, 2.74889, 0.704755, 5.63804, 1.2494, -0.0076774, 0.49, 0, 5.29525, 0
7171, 1.3696, -2.52671, 2.81551, 2.87512, 10.4381, 12.5348, 0.445482, -0.0153548, 0.5, 0, -4.43808, 0
7181, -7.48918, -4.99536, 2.9768, 3.00836, 16.4723, 12.9731, 1.31458, -0.0199612, 0.51, 0, -10.4723, 0
7190, -5.3289, 2.60476, 3.10302, 3.06095, 12.2894, 5.26638, 1.2494, -0.0245677, 0.52, 0, -6.28938, 0
7200, 8.20958, 12.4954, 3.10302, 3.03641, 0, -2.46138, 8.2674, -0.0261032, 0.53, 0, 6, 0
7211, 18.3481, 12.7777, 3.03641, 3.02939, -6.68991, -0.701248, 6.20328, -0.0276386, 0.54, 0, 12.6899, 0
7221, 11.5014, 2.87648, 3.05394, 3.11705, 1.75663, 8.77963, 6.20328, -0.0291741, 0.55, 0, 4.24337, 0
7231, 0.114192, -5.23604, 3.17315, 3.2608, 11.8476, 14.607, 4.96481, -0.0291741, 0.56, 0, -5.84759, 0
7240, -8.24562, -4.41974, 3.34495, 3.38352, 17.1525, 11.9352, 4.96481, -0.0291741, 0.57, 0, -11.1525, 0
7250, -4.99458, 6.5845, 3.46417, 3.40456, 11.9388, 1.75312, 0.630166, -0.0276386, 0.58, 0, -5.93875, 0
7261, 8.64692, 15.7383, 3.46066, 3.35898, -0.350624, -4.56162, 0.630166, -0.0230322, 0.59, 0, 6.35062, 0
7271, 17.9974, 10.9309, 3.39755, 3.3695, -6.32877, 1.75663, 0.478278, -0.0199612, 0.6, 0, 12.3288, 0
7280, 8.86714, 0.320666, 3.43612, 3.4852, 3.85687, 11.227, 1.55902, -0.0184258, 0.61, 0, 2.14313, 0
7290, -2.28108, -6.38622, 3.56935, 3.63948, 13.2641, 15.3573, 1.66222, -0.0168903, 0.62, 0, -7.26411, 0
7301, -8.87093, -3.50328, 3.73765, 3.74467, 16.8229, 10.8588, 0.416987, -0.0153548, 0.63, 0, -10.8229, 0
7311, -2.38873, 9.10343, 3.82882, 3.74467, 9.10571, -0.350624, 1.55902, -0.0138193, 0.64, 0, -3.10571, 0
