QGPIORecord, QRC v6.1.0, 05-12-2021 @ 12:51:47, Windows 10 Version 2009, 10.0.19042, x86_64
Time, VoltageA, VoltageB, PositionA, PositionB, SpeedA, SpeedB, FrontDistance, PendulumAngle, Time, ValueIn9, eA, ValueIn11
23630, 0, 0, 58.2702, 57.6917, 0, 0, 8.2674, 0, 0, 0, -0.0452833, 0
23641, 14.4255, 14.4255, 58.2702, 57.6917, 0, 0, 0.680374, 0, 0.01, 0, 15, 0
23650, 16.4895, 16.4895, 58.2702, 57.6917, 0, 0, 1.78017, 0, 0.02, 0, 15, 0
23660, 11.8029, 11.5061, 58.3404, 57.7618, 7.0195, 7.32805, 2.07505, 0, 0.03, 0, 7.9805, 0
23670, 5.60743, 5.23115, 58.4876, 57.9161, 14.6035, 14.9506, 8.2674, 0.00153548, 0.04, 0, 0.396502, 0
23681, 1.85843, 1.41753, 58.6699, 58.1019, 18.5585, 18.9232, 1.66222, 0.00614192, 0.05, 0, -3.55854, 0
23691, 3.38183, 2.8975, 58.8382, 58.2702, 16.4653, 16.8229, 1.66222, 0.0122838, 0.06, 0, -1.46531, 0
23700, 9.54982, 9.36696, 58.9364, 58.3719, 9.84202, 9.83501, 6.20328, 0.0214967, 0.07, 0, 5.15798, 0
23710, 14.3363, 14.4814, 58.9925, 58.4245, 5.60297, 5.25586, 0.680374, 0.0307096, 0.08, 0, 9.39703, 0
23720, 12.5203, 13.0606, 59.0802, 58.5051, 8.83573, 8.12747, 0.69897, 0.0429934, 0.09, 0, 6.16427, 0
23731, 7.40356, 7.69734, 59.2274, 58.6489, 15.0383, 14.6876, 0.416987, 0.0552773, 0.1, 0, -0.038271, 0
23741, 3.43288, 3.79513, 59.4238, 58.8382, 19.1616, 18.7899, 0.423754, 0.0690966, 0.11, 0, -4.16161, 0
23750, 3.74032, 3.78954, 59.6061, 59.0206, 18.2465, 18.2535, 1.31458, 0.0844514, 0.12, 0, -3.24648, 0
23760, 8.38525, 8.44025, 59.7323, 59.1503, 12.9521, 12.9521, 6.20328, 0.101342, 0.13, 0, 2.04794, 0
23771, 13.0304, 12.738, 59.8165, 59.2415, 8.41498, 8.77612, 0.662757, 0.118232, 0.14, 0, 6.58502, 0
23781, 12.1662, 11.8478, 59.9217, 59.3431, 10.2558, 10.5924, 6.20328, 0.133587, 0.15, 0, 4.74424, 0
23790, 8.24325, 8.51583, 60.0689, 59.4904, 15.0137, 14.6876, 4.13916, 0.150477, 0.16, 0, -0.0137272, 0
23800, 4.23885, 4.57991, 60.2618, 59.6797, 19.1756, 18.825, 4.96481, 0.168903, 0.17, 0, -4.17564, 0
23811, 3.88346, 3.94905, 60.4546, 59.8691, 18.9477, 18.9337, 8.2674, 0.185793, 0.18, 0, -3.94773, 0
23821, 7.75077, 7.79131, 60.5949, 60.0163, 14.3616, 14.3756, 8.2674, 0.204219, 0.19, 0, 0.638433, 0
23830, 12.1918, 11.9135, 60.6966, 60.118, 9.83501, 10.1786, 1.2494, 0.221109, 0.2, 0, 5.16499, 0
23840, 11.1997, 11.191, 60.8088, 60.2337, 11.6057, 11.6197, 0.478278, 0.236464, 0.21, 0, 3.39434, 0
23851, 7.06402, 7.07366, 60.9735, 60.395, 16.3917, 16.3847, 0.487266, 0.248748, 0.22, 0, -1.39168, 0
23861, 4.40763, 4.78577, 61.1629, 60.5808, 18.9547, 18.5655, 0.69897, 0.261032, 0.23, 0, -3.95474, 0
23871, 5.23921, 5.94741, 61.3417, 60.7527, 17.5242, 16.8475, 0.718628, 0.273316, 0.24, 0, -2.5242, 0
23880, 8.57068, 9.07864, 61.4784, 60.8824, 13.6989, 13.3272, 8.2674, 0.284064, 0.25, 0, 1.30111, 0
23890, 10.8167, 10.6576, 61.5942, 61.0051, 11.5496, 11.9247, 0.784975, 0.293277, 0.26, 0, 3.45044, 0
23901, 9.25484, 8.74061, 61.7309, 61.1454, 13.6673, 14.3581, 0.784975, 0.299419, 0.27, 0, 1.33267, 0
23911, 6.41021, 7.1396, 61.8957, 61.3066, 16.8159, 16.1147, 0.928316, 0.304025, 0.28, 0, -1.81594, 0
23920, 5.44548, 6.62542, 62.0745, 61.4714, 17.5593, 16.4899, 3.54942, 0.307096, 0.29, 0, -2.55926, 0
23930, 6.45222, 7.432, 62.2358, 61.6257, 16.1462, 15.438, 3.54942, 0.308632, 0.3, 0, -1.14624, 0
23941, 8.69533, 8.72726, 62.3725, 61.7695, 13.6498, 14.0285, 0.52696, 0.308632, 0.31, 0, 1.3502, 0
23951, 9.19134, 8.52374, 62.5058, 61.9132, 13.3272, 14.3791, 0.53794, 0.307096, 0.32, 0, 1.67278, 0
23960, 7.42194, 7.29412, 62.66, 62.0675, 15.4064, 15.7465, 1.08786, 0.300954, 0.33, 0, -0.406426, 0
23970, 5.99363, 7.13744, 62.8283, 62.2253, 16.8335, 15.8026, 0.69897, 0.293277, 0.34, 0, -1.83347, 0
23981, 6.41911, 7.3878, 62.9896, 62.3795, 16.1287, 15.4275, 0.36478, 0.284064, 0.35, 0, -1.12871, 0
23991, 7.9464, 8.01686, 63.1334, 62.5268, 14.3791, 14.7122, 3.54942, 0.273316, 0.36, 0, 0.620902, 0
24000, 8.35217, 8.00588, 63.2736, 62.6776, 14.046, 14.7648, 8.2674, 0.261032, 0.37, 0, 0.953995, 0
24010, 7.52244, 7.4549, 63.4244, 62.8283, 15.0453, 15.3714, 8.2674, 0.247212, 0.38, 0, -0.0452833, 0
24020, 6.45741, 7.32625, 63.5857, 62.9826, 16.1462, 15.452, 0.895553, 0.230322, 0.39, 0, -1.14624, 0
24031, 6.66723, 7.28765, 63.7435, 63.1404, 15.7641, 15.4275, 0.928316, 0.210361, 0.4, 0, -0.764063, 0
24041, 7.57368, 7.25918, 63.8907, 63.2912, 14.7122, 15.3959, 3.54942, 0.1904, 0.41, 0, 0.287809, 0
24050, 7.59643, 7.82852, 64.0345, 63.4419, 14.7297, 14.7473, 0.69897, 0.170438, 0.42, 0, 0.270278, 0
24060, 7.62687, 7.56656, 64.1853, 63.5892, 14.7367, 15.0558, 0.718628, 0.147406, 0.43, 0, 0.263266, 0
24071, 6.66163, 7.50493, 64.3395, 63.7435, 15.7781, 15.1119, 1.04299, 0.124374, 0.44, 0, -0.778089, 0
24081, 6.91199, 7.21303, 64.4973, 63.8942, 15.4064, 15.3994, 1.08786, 0.0998062, 0.45, 0, -0.406426, 0
24090, 7.50685, 7.45818, 64.6446, 64.045, 14.7297, 15.0874, 0.615063, 0.0752385, 0.46, 0, 0.270278, 0
24100, 7.55416, 7.46302, 64.7883, 64.1958, 14.7192, 15.0698, 1.04299, 0.0491354, 0.47, 0, 0.280797, 0
24111, 7.5692, 7.78386, 64.9391, 64.343, 14.7437, 14.7262, 1.08786, 0.0245677, 0.48, 0, 0.256253, 0
24121, 6.99076, 7.50794, 65.0934, 64.4938, 15.3819, 15.0523, 8.2674, 0, 0.49, 0, -0.381883, 0
24130, 6.85391, 7.43668, 65.2477, 64.6481, 15.4695, 15.1189, 1.2494, -0.0245677, 0.5, 0, -0.469539, 0
24140, 7.19731, 7.15393, 65.3949, 64.7989, 15.0453, 15.3959, 1.2494, -0.0491354, 0.51, 0, -0.0452833, 0
