QGPIORecord, QRC v6.1.0, 13-11-2021 @ 18:13:39, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
12030, 0, 0, 0, 0, 0, 0.573872, 0, 0, 0, 0, 0, 0
12042, 0, 0, 0, 0, 0, 0.586964, 0, 0, 0, 0, 0, 0
12050, 0, 0, 0, 0, 0, 0.52696, 0, 0, 0, 0, 0, 0
12060, 0, 0, 0, 0, 0, 0.52696, 0, 0, 0, 0, 0, 0
12070, 0, 0, 0, 0, 0, 0.397953, 0, 0, 0, 0, 0, 0
12081, 0, 0, 0, 0, 0, 0.391999, 0, 0, 0, 0, 0, 0
12090, 0, 0, 0, 0, 0, 0.397953, 0, 0, 0, 0, 0, 0
12100, 0, 0, 0, 0, 0, 0.375187, 0, 0, 0, 0, 0, 0
12110, 0, 0, 0, 0, 0, 0.487266, 0, 0, 0, 0, 0, 0
12121, 0, 0, 0, 0, 0, 0.298947, 0, 0, 0, 0, 0, 0
12130, 0, 0, 0, 0, 0, 0.487266, 0, 0, 0, 0, 0, 0
12140, 0, 0, 0, 0, 0, 0.487266, 0, 0, 0, 0, 0, 0
12150, 0, 0, 0, 0, 0, 0.391999, 0, 0, 0, 0, 0, 0
12161, 0, 0, 0, 0, 0, 0.487266, 0, 0, 0, 0, 0, 0
12170, 0, 0, 0, 0, 0, 0.487266, 0, 0, 0, 0, 0, 0
12180, 0, 0, 0, 0, 0, 0.369908, 0, 0, 0, 0, 0, 0
12190, 0, 0, 0, 0, 0, 0.369908, 0, 0, 0, 0, 0, 0
12200, 0, 0, 0, 0, 0, 0.369908, 0, 0, 0, 0, 0, 0
12210, 0, 0, 0, 0, 0, 0.391999, 0, 0, 0, 0, 0, 0
12220, 0, 0, 0, 0, 0, 0.386225, 0, 0, 0, 0, 0, 0
12230, 0, 0, 0, 0, 0, 0.630166, 0, 0, 0, 0, 0, 0
12240, 0, 0, 0, 0, 0, 0.487266, 0, 0, 0, 0, 0, 0
12251, 0, 0, 0, 0, 0, 0.298947, 0, 0, 0, 0, 0, 0
12260, 0, 0, 0, 0, 0, 0.487266, 0, 0, 0, 0, 0, 0
12270, 0, 0, 0, 0, 0, 0.416987, 0, 0, 0, 0, 0, 0
12280, 0, 0, 0, 0, 0, 0.416987, 0, 0, 0, 0, 0, 0
