QGPIORecord, QRC v6.1.0, 13-11-2021 @ 19:06:11, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
18130, 0, 0, 0, 0, 0, 0, 0.478278, 0, 0, 0, 0, 0
18141, 0, 0, 0, 0, 0, 0, 0.630166, 0, 0.01, 0, 0, 0
18150, 5.976, 5.976, 0, 0, 0, 0, 0.630166, 0, 0.02, 0, 0, 0
18160, 5.976, 5.976, 0.0385687, 0.0420749, 4.20048, 4.18295, 0.516429, 0, 0.03, 0, 0, 0
18170, 5.976, 5.976, 0.126225, 0.126225, 8.41498, 8.41498, 0.487266, 0, 0.04, 0, 0, 0
18181, 5.976, 5.976, 0.231412, 0.231412, 10.5222, 10.5222, 0.298947, 0, 0.05, 0, 0, 0
18191, 5.976, 5.976, 0.347118, 0.347118, 11.5355, 11.5355, 0.52696, 0, 0.06, 0, 0, 0
18200, 5.976, 5.976, 0.46633, 0.46633, 11.9282, 12.2859, 0.53794, 0, 0.07, 0, 0, 0
18210, 5.976, 5.976, 0.589049, 0.589049, 12.2999, 12.2718, 0.630166, 0, 0.08, 0, 0, 0
18221, 5.976, 5.976, 0.715273, 0.711767, 12.6014, 12.2789, 0.487266, 0, 0.09, 0, 0, 0
18231, 5.976, 5.976, 0.837992, 0.837992, 12.2508, 12.2508, 0.487266, 0, 0.1, 0, 0, 0
18240, 5.976, 5.976, 0.964217, 0.96071, 12.6365, 12.6155, 0.52696, 0, 0.11, 0, 0, 0
18250, 5.976, 5.976, 1.08693, 1.08693, 12.626, 12.2894, 0.69897, 0, 0.12, 0, 0, 0
18260, 5.976, 5.976, 1.21316, 1.21316, 12.2754, 12.6155, 0.718628, 0, 0.13, 0, 0, 0
18271, 5.976, 5.976, 1.33938, 1.33588, 12.6155, 12.6155, 0.69897, 0, 0.14, 0, 0, 0
18281, 5.976, 5.976, 1.46561, 1.4621, 12.6225, 12.2648, 0.718628, 0, 0.15, 0, 0, 0
18290, 5.976, 5.976, 1.59183, 1.58833, 12.6225, 12.64, 0.391999, 0, 0.16, 0, 0, 0
18300, 5.976, 5.976, 1.71806, 1.71105, 12.6295, 12.6155, 0.52696, 0, 0.17, 0, 0, 0
18311, 5.976, 5.976, 1.84428, 1.83727, 12.6155, 12.2754, 0.52696, 0, 0.18, 0, 0, 0
18321, 5.976, 5.976, 1.967, 1.9635, 12.612, 12.6155, 0.573872, 0, 0.19, 0, 0, 0
18330, 5.976, 5.976, 2.09323, 2.08621, 12.626, 12.6225, 0.561362, 0, 0.2, 0, 0, 0
18340, 5.976, 5.976, 2.21945, 2.21244, 12.2613, 12.612, 0.52696, 0, 0.21, 0, 0, 0
18351, 5.976, 5.976, 2.34568, 2.33866, 12.6155, 12.2718, 0.445482, 0, 0.22, 0, 0, 0
18361, 5.976, 5.976, 2.4719, 2.46138, 12.626, 12.612, 0.453242, 0, 0.23, 0, 0, 0
18370, 5.976, 5.976, 2.59813, 2.58761, 12.6295, 12.2894, 0.573872, 0, 0.24, 0, 0, 0
18380, 5.976, 5.976, 2.72435, 2.71383, 12.6225, 12.6225, 0.615063, 0, 0.25, 0, 0, 0
18391, 5.976, 5.976, 2.85057, 2.83655, 12.6225, 12.626, 0.646044, 0, 0.26, 0, 0, 0
18401, 5.976, 5.976, 2.97329, 2.96277, 12.6014, 12.2508, 0.478278, 0, 0.27, 0, 0, 0
18410, 5.976, 5.976, 3.09952, 3.089, 12.626, 12.6155, 0.487266, 0, 0.28, 0, 0, 0
18420, 5.976, 5.976, 3.22574, 3.21172, 12.2964, 12.6295, 0.423754, 0, 0.29, 0, 0, 0
18430, 5.976, 5.976, 3.35197, 3.33794, 12.6225, 12.2964, 0.561362, 0, 0.3, 0, 0, 0
18441, 5.976, 5.976, 3.47819, 3.46066, 12.6155, 12.612, 0.586964, 0, 0.31, 0, 0, 0
18451, 5.976, 5.976, 3.60091, 3.58689, 12.6155, 12.6049, 0.52696, 0, 0.32, 0, 0, 0
18460, 5.976, 5.976, 3.72714, 3.71311, 12.2648, 12.2754, 0.416987, 0, 0.33, 0, 0, 0
18470, 5.976, 5.976, 3.85336, 3.83583, 12.626, 12.6155, 0.410438, 0, 0.34, 0, 0, 0
18481, 5.976, 5.976, 3.97958, 3.96205, 12.6225, 12.2859, 0.573872, 0, 0.35, 0, 0, 0
18491, 5.976, 5.976, 4.10581, 4.08828, 12.612, 12.612, 0.573872, 0, 0.36, 0, 0, 0
18500, 5.976, 5.976, 4.23203, 4.211, 12.626, 12.626, 0.416987, 0, 0.37, 0, 0, 0
18510, 5.976, 5.976, 4.35475, 4.33722, 12.612, 12.6049, 0.52696, 0, 0.38, 0, 0, 0
18521, 5.976, 5.976, 4.48098, 4.46345, 12.2859, 12.2754, 0.52696, 0, 0.39, 0, 0, 0
18531, 5.976, 5.976, 4.6072, 4.58616, 12.626, 12.612, 0.445482, 0, 0.4, 0, 0, 0
18540, 5.976, 5.976, 4.73343, 4.71239, 12.626, 12.6295, 0.445482, 0, 0.41, 0, 0, 0
