QGPIORecord, QRC v6.1.0, 30-11-2021 @ 01:15:34, Windows 10 Version 1903, 10.0.18362, x86_64,,,,,,,
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
20890,6,6,8.37992,8.34486,12.626,12.626,0.127219,0,0.7,0,0,0
20900,6,6,8.50614,8.47108,12.612,12.2613,0.127219,0,0.71,0,0,0
20911,6,6,8.62886,8.59731,12.2648,12.6155,0.127219,0,0.72,0,0,0
20920,6,6,8.75509,8.72353,12.9661,12.6155,0.127219,0,0.73,0,0,0
20930,6,6,8.88131,8.84625,12.3034,12.626,0.127768,0,0.74,0,0,0
20940,6,6,9.00753,8.97247,12.6014,12.6155,0.127219,0,0.75,0,0,0
20951,6,6,9.13376,9.0987,12.6365,12.2859,0.127768,0,0.76,0,0,0
20961,6,6,9.25998,9.22492,12.6155,12.6155,0.115004,0,0.77,0,0,0
20970,6,6,9.38621,9.34764,12.6155,12.6049,0.127219,0,0.78,0,0,0
20980,6,6,9.51243,9.47387,12.6225,12.647,0.127219,0,0.79,0,0,0
20990,6,6,9.63866,9.60009,12.6225,12.2718,0.127219,0,0.8,0,0,0
21001,6,6,9.76488,9.72631,12.6155,12.612,0.127219,0,0.81,0,0,0
21010,6,6,9.89111,9.84903,12.6365,12.6225,0.127219,0,0.82,0,0,0
21020,6,6,10.0173,9.97526,12.626,12.6295,0.127219,0,0.83,0,0,0
21030,6,6,10.1401,10.1015,12.6155,12.2648,0.127219,0,0.84,0,0,0
21041,6,6,10.2698,10.2277,12.6225,12.6365,0.127219,0,0.85,0,0,0
21050,6,6,10.396,10.3539,12.6155,12.6155,0.126676,0,0.86,0,0,0
21060,6,6,10.5187,10.4767,12.626,12.626,0.127219,0,0.87,0,0,0
21070,6,6,10.6485,10.6029,12.626,12.626,0.127219,0,0.88,0,0,0
21081,6,6,10.7712,10.7291,12.6049,12.6014,0.127219,0,0.89,0,0,0
21090,6,6,10.9009,10.8553,12.612,12.612,0.127768,0,0.9,0,0,0
21100,6,6,11.0236,10.9815,12.6295,12.2789,0.127219,0,0.91,0,0,0
21110,6,6,11.1498,11.1078,12.612,12.6155,0.115004,0,0.92,0,0,0
21121,6,6,11.2761,11.2305,12.2894,12.626,0.115004,0,0.93,0,0,0
21131,6,6,11.4023,11.3567,12.6049,12.6049,0.127219,0,0.94,0,0,0
21140,6,6,11.5285,11.4829,12.626,12.2789,0.127219,0,0.95,0,0,0
21150,6,6,11.6547,11.6092,12.6155,12.626,0.127219,0,0.96,0,0,0
21160,6,6,11.781,11.7319,12.6155,12.6155,0.127219,0,0.97,0,0,0
21171,6,6,11.9072,11.8581,12.612,12.612,0.127219,0,0.98,0,0,0
21180,6,6,12.0334,11.9843,12.6295,12.6225,0.127219,0,0.99,0,0,0
21190,6,6,12.1596,12.1106,12.6225,12.2789,0.127219,0,1,0,0,0
21200,6,6,12.2859,12.2333,12.6225,12.6225,0.127219,0,1.01,0,0,0
21211,6,6,12.4086,12.3595,12.6295,12.6155,0.127219,0,1.02,0,0,0
21220,6,6,12.5348,12.4857,12.6155,12.2754,0.127219,0,1.03,0,0,0
21230,6,6,12.661,12.612,12.2894,12.6295,0.127219,0,1.04,0,0,0
21240,6,6,12.7873,12.7347,12.6155,12.6155,0.127768,0,1.05,0,0,0
21251,6,6,12.9135,12.8609,12.6049,12.6049,0.127768,0,1.06,0,0,0
21260,6,6,13.0397,12.9871,12.6155,12.2648,0.127219,0,1.07,0,0,0
21270,6,6,13.1659,13.1133,12.6365,12.647,0.115004,0,1.08,0,0,0
21280,6,6,13.2887,13.2361,12.6295,12.6225,0.127219,0,1.09,0,0,0
21291,6,6,13.4184,13.3623,12.6155,12.6155,0.127219,0,1.1,0,0,0
21301,6,6,13.5411,13.4885,12.6155,12.2754,0.127219,0,1.11,0,0,0
21310,6,6,13.6673,13.6112,12.2754,12.6225,0.127219,0,1.12,0,0,0
21320,6,6,13.7936,13.7375,12.5944,12.6049,0.127219,0,1.13,0,0,0
21330,6,6,13.9198,13.8637,12.6225,12.6225,0.127219,0,1.14,0,0,0
21341,6,6,14.046,13.9899,12.6225,12.2718,0.127219,0,1.15,0,0,0
21350,6,6,14.1722,14.1126,12.6365,12.6155,0.127219,0,1.16,0,0,0
21360,6,6,14.2985,14.2388,12.626,12.6295,0.127219,0,1.17,0,0,0
21370,6,6,14.4212,14.3651,12.6155,12.2754,0.127219,0,1.18,0,0,0
21381,6,6,14.5474,14.4913,12.2859,12.626,0.127768,0,1.19,0,0,0
21390,6,6,14.6736,14.614,12.612,12.612,0.127219,0,1.2,0,0,0
21400,6,6,14.7998,14.7402,12.6225,12.6225,0.127768,0,1.21,0,0,0
21410,6,6,14.9261,14.8665,12.6155,12.2754,0.115004,0,1.22,0,0,0
21421,6,6,15.0523,14.9927,12.6225,12.6155,0.127219,0,1.23,0,0,0
21431,6,6,15.1785,15.1154,12.626,12.6225,0.127219,0,1.24,0,0,0
21440,6,6,15.3012,15.2416,12.626,12.6155,0.127219,0,1.25,0,0,0
21450,6,6,15.4275,15.3679,12.6155,12.2894,0.127219,0,1.26,0,0,0
21460,6,6,15.5537,15.4941,12.2754,12.6225,0.127219,0,1.27,0,0,0
21471,6,6,15.6799,15.6203,12.6014,12.6049,0.127219,0,1.28,0,0,0
21480,6,6,15.8061,15.743,12.6295,12.6155,0.127219,0,1.29,0,0,0
21490,6,6,15.9324,15.8693,12.612,12.626,0.127219,0,1.3,0,0,0
21500,6,6,16.0586,15.9955,12.6225,12.6225,0.127219,0,1.31,0,0,0
21511,6,6,16.1848,16.1217,12.6155,12.2648,0.127219,0,1.32,0,0,0
21520,6,6,16.311,16.2444,12.6295,12.6155,0.127219,0,1.33,0,0,0
21530,6,6,16.4373,16.3706,12.6295,12.626,0.127219,0,1.34,0,0,0
21540,6,6,16.5635,16.4969,12.6155,12.2859,0.127219,0,1.35,0,0,0
21551,6,6,16.6897,16.6231,12.626,12.6225,0.127219,0,1.36,0,0,0
21560,6,6,16.8159,16.7493,12.612,12.6155,0.115443,0,1.37,0,0,0
21570,6,6,16.9387,16.872,12.626,12.626,0.127219,0,1.38,0,0,0
21580,6,6,17.0684,16.9983,12.6225,12.6155,0.127219,0,1.39,0,0,0
21591,6,6,17.1911,17.1245,12.612,12.612,0.127219,0,1.4,0,0,0
21601,6,6,17.3173,17.2507,12.612,12.2613,0.127219,0,1.41,0,0,0
21610,6,6,17.4436,17.3734,12.2859,12.6155,0.127219,0,1.42,0,0,0
